county_fips,median_hh_income,pct_bachelors_plus,pct_poverty
18081,90454,34.7,7.4
18083,61237,19.1,13.7
18085,75317,25.1,9.8
18087,84487,11.5,5.9
18089,71493,25.8,14.3
18091,71055,22.7,13.6
18093,66468,20.4,12.2
18095,63037,20.5,13.4
18097,66346,34.8,15.3
18099,71808,20.9,11.7
18101,68594,13.3,16.3
18103,61139,16.1,15.1
18105,65868,49.5,19.7
18107,71479,20.4,10.5
18109,79429,21.1,9.3
18111,75481,15.3,14.0
18113,71723,18.8,9.2
18115,70392,17.8,8.1
18117,65873,16.1,13.4
18119,62464,16.8,12.3
18121,68485,15.4,16.2
18123,61151,16.6,15.0
18125,71334,16.0,10.7
18127,87972,31.1,9.6
18129,78129,25.2,10.1
18131,62792,14.1,12.1
18133,78378,20.2,8.7
18135,60791,15.1,15.8
18137,70573,20.7,10.1
18139,66473,18.6,11.9
18141,66868,33.5,14.2
18143,56352,12.7,16.6
18145,72190,21.9,13.0
18147,74506,22.0,7.5
18149,63960,12.5,13.4
18151,74911,25.6,9.3
18153,56204,14.6,13.9
18155,65343,8.9,12.6
18157,60636,40.5,19.2
18159,76156,23.5,11.2
18161,76424,18.4,8.5
18163,61648,27.8,14.3
18165,60200,17.6,15.3
18167,52976,26.3,19.2
18169,66806,23.1,11.1
18171,82425,17.5,11.0
18173,89844,35.2,7.0
18175,64641,14.5,14.4
18177,55692,20.5,17.9
18179,71957,19.9,7.2
18181,67303,19.2,10.2
18183,78083,23.6,9.9
19001,68092,19.9,9.5
19003,71875,27.0,9.1
19005,70694,22.2,10.1
19007,54934,20.5,17.5
19009,58229,20.8,11.8
19011,86962,25.6,7.4
19013,66417,30.3,14.9
19015,83531,28.5,6.2
19017,86784,36.2,7.3
19019,78236,22.4,8.6
19021,71719,22.2,7.8
19023,73715,21.4,9.2
19025,64964,21.8,9.3
19027,72930,24.0,7.9
19029,63013,22.1,14.3
19031,80602,23.7,7.3
19033,68189,24.0,10.6
19035,71269,23.4,12.1
19037,75675,21.2,8.8
19039,71641,16.0,9.7
19041,65428,27.5,11.4
19043,67242,14.5,10.9
19045,66981,22.4,13.2
19047,67027,17.7,14.8
19049,102379,51.5,6.3
19051,77194,17.1,7.2
19053,59044,23.5,14.6
19055,74989,22.6,7.8
19057,62928,23.8,12.8
19059,75432,31.2,7.6
19061,77630,33.4,9.7
19063,63730,17.1,9.9
19065,60165,20.7,12.0
19067,68557,18.3,11.6
19069,59894,19.4,13.6
19071,71621,20.8,7.7
19073,63409,21.2,9.8
19075,87205,27.8,6.5
19077,77711,25.0,9.9
19079,72432,22.8,7.4
19081,70601,20.5,12.2
19083,65069,21.9,9.7
19085,79535,22.0,7.1
19087,67436,23.0,12.0
19089,67446,19.5,8.9
19091,71946,19.4,12.9
19093,63073,21.6,11.3
19095,71223,24.8,8.9
19097,74186,19.5,9.7
19099,71311,20.0,8.3
19101,61620,43.2,15.2
19103,74935,55.2,17.1
19105,73531,22.0,12.0
19107,62329,17.0,12.1
19109,67697,22.8,8.2
19111,62382,21.7,13.1
19113,77649,34.7,9.4
19115,77354,16.8,9.8
19117,61793,15.8,14.9
19119,76746,20.4,5.3
19121,90855,27.1,7.0
19123,70940,24.1,12.6
19125,78680,32.1,8.2
19127,73315,22.6,11.2
19129,90753,31.0,8.2
19131,71365,24.9,9.5
19133,68377,19.6,10.6
19135,70996,21.4,9.2
19137,63666,20.4,15.3
19139,69396,23.1,13.7
19141,68356,22.0,13.3
19143,69239,16.7,16.0
19145,57953,19.2,13.8
19147,72781,19.0,11.6
19149,83251,21.7,6.9
19151,61875,18.7,10.3
19153,83576,40.3,10.3
19155,73602,23.6,12.1
19157,67391,27.3,10.7
19159,73346,24.6,8.8
19161,73838,22.3,9.2
19163,78277,36.6,11.5
19165,72738,24.1,7.6
19167,86098,30.6,6.7
19169,69685,54.8,18.2
19171,70781,20.5,14.8
19173,67740,16.0,11.0
19175,57772,23.3,12.4
19177,61161,18.8,15.1
19179,64766,19.6,15.8
19181,94588,33.3,5.1
19183,75647,26.2,8.2
19185,61964,17.2,10.1
19187,68975,22.0,12.9
19189,67642,26.1,11.2
19191,79066,31.2,8.4
19193,73658,24.3,14.0
19195,78008,19.1,8.2
19197,67190,24.9,16.8
20001,60689,22.4,9.9
20003,70614,14.0,11.0
20005,61112,21.8,13.0
20007,61926,27.3,11.8
20009,58851,21.7,15.4
20011,59238,23.9,13.6
20013,62233,19.6,13.8
20015,81610,32.4,8.5
20017,56484,30.2,8.4
20019,56438,18.6,14.9
20021,57668,19.4,14.1
20023,55429,22.0,17.0
20025,63043,31.1,9.9
20027,66176,25.5,13.4
20029,58770,20.8,10.0
20031,70346,19.7,10.7
20033,54545,20.1,9.2
20035,57878,24.5,14.3
20037,52844,32.2,20.6
20039,53870,27.0,12.7
20041,68417,23.7,8.1
20043,74028,21.7,9.6
20045,69746,53.2,14.7
20047,52692,20.5,18.9
20049,64609,21.5,10.4
20051,63084,38.9,18.3
20053,65560,22.7,10.4
20055,73009,19.0,11.1
20057,70781,20.7,14.0
20059,77207,24.6,8.7
20061,59317,26.2,18.0
20063,66029,24.2,5.1
20065,50650,26.9,14.8
20067,66476,25.1,9.3
20069,79122,25.9,8.5
20071,80565,29.8,7.1
20073,60042,21.6,13.9
20075,70250,20.5,7.0
20077,53488,22.8,17.3
20079,74368,30.1,8.2
20081,66162,19.9,11.2
20083,59955,30.2,6.3
20085,75215,22.6,6.1
20087,81278,24.6,5.6
20089,52634,18.2,10.6
20091,109208,57.6,5.4
20093,89135,19.4,4.5
20095,59842,25.3,10.3
20097,75539,28.3,5.9
20099,56325,20.2,16.0
20101,54526,24.4,7.0
20103,89218,36.1,8.8
20105,57500,25.9,11.3
20107,59069,22.7,8.4
20109,75662,25.7,15.0
20111,59912,26.3,14.6
20113,78851,34.3,9.5
20115,64695,30.4,9.2
20117,68419,19.1,11.3
20119,71852,26.5,11.0
20121,89000,31.0,7.9
20123,64246,26.2,12.2
20125,55697,22.6,15.9
20127,58686,29.9,12.1
20129,66447,17.1,14.8
20131,77348,29.9,9.3
20133,56618,23.3,13.1
20135,68616,25.0,11.2
20137,54050,22.5,7.2
20139,74467,21.6,9.7
20141,63011,23.8,8.4
20143,74018,27.7,10.4
20145,63517,18.0,11.5
20147,62123,22.5,15.4
20149,92325,38.2,6.7
20151,66022,25.8,12.3
20153,67742,20.0,6.8
20155,60645,20.4,12.5
20157,56833,21.5,10.6
20159,63925,25.9,7.7
20161,61098,48.9,19.9
20163,62500,23.2,5.5
20165,59970,21.2,11.1
20167,62392,19.7,14.7
20169,65422,29.1,11.9
20171,68839,28.7,6.5
20173,69365,32.1,13.9
20175,63827,11.4,12.2
20177,67104,32.2,12.7
20179,73750,24.3,8.9
20181,61750,24.1,10.2
20183,59135,25.6,7.3
20185,64226,27.1,10.5
20187,71700,24.2,1.5
20189,64178,20.3,14.2
20191,63951,25.9,10.6
20193,71325,34.6,6.5
20195,81528,30.1,5.5
20197,76908,25.0,8.5
20199,63207,24.5,12.3
20201,65482,25.8,9.3
20203,79063,20.1,16.5
20205,60677,19.9,15.5
20207,50326,23.1,12.4
20209,63631,21.2,15.8
21001,53553,21.8,18.4
21003,61403,18.4,13.5
21005,74488,26.2,11.5
21007,66164,18.4,15.0
21009,50628,18.3,19.4
21011,56541,12.3,25.3
21013,31354,15.8,28.8
21015,99414,35.7,6.3
21017,61354,26.3,14.2
21019,61118,20.0,16.9
21021,61159,26.2,15.6
21023,66319,17.8,19.5
21025,34808,15.3,33.1
21027,55843,14.2,21.4
21029,80558,19.5,9.7
21031,56092,9.9,20.5
21033,59583,17.1,15.1
21035,52706,31.2,17.2
21037,77567,39.7,11.1
21039,62439,14.9,15.1
21041,56466,11.4,23.1
21043,51235,15.9,19.2
21045,45510,12.9,21.7
21047,55494,19.6,17.1
21049,64348,22.9,14.6
21051,40900,15.5,32.4
21053,44844,18.0,17.5
21055,46656,15.3,17.7
21057,40000,19.1,24.8
21059,68214,26.2,14.7
21061,54937,10.7,15.3
21063,45776,8.7,25.1
21065,46051,12.2,20.7
21067,69479,48.3,14.9
21069,49307,18.9,21.2
21071,41279,15.3,28.0
21073,65298,31.9,13.6
21075,38217,16.1,22.6
21077,63346,15.0,13.8
21079,63087,18.7,15.9
21081,69178,15.3,11.7
21083,50772,18.4,19.9
21085,50757,16.1,20.1
21087,46798,17.4,20.4
21089,60751,18.8,15.4
21091,65464,17.3,16.2
21093,67647,24.8,13.1
21095,41693,13.0,27.4
21097,66442,22.5,17.1
21099,52285,12.2,19.3
21101,58851,20.1,14.6
21103,63347,15.5,16.4
21105,60867,15.1,20.5
21107,56815,16.9,20.0
21109,40000,8.8,19.5
21111,69866,37.0,14.3
21113,74576,33.5,11.3
21115,44904,16.8,22.8
21117,80548,37.4,11.8
21119,41761,19.5,23.3
21121,32527,13.6,36.9
21123,67067,15.5,17.9
21125,57771,17.5,20.5
21127,46772,14.6,21.8
21129,37568,9.2,27.4
21131,35934,11.5,30.3
21133,41793,12.5,24.4
21135,46838,15.3,22.0
21137,52440,15.9,16.3
21139,58984,14.7,19.3
21141,60382,16.1,16.8
21143,65066,16.5,9.5
21145,64373,29.0,15.2
21147,33750,8.5,38.9
21149,65596,16.8,9.5
21151,63351,34.4,15.1
21153,33080,12.8,38.2
21155,59627,15.1,17.0
21157,65831,21.2,12.3
