total_population,fips_state,fips_distid,district_name,state_abbr,child_poverty_estimate,child_population_5_17,leaid,pct_child_poverty
2307,5,10410,Nemo Vista School District,AR,87,379,0510410,22.96
30410,5,10440,Nettleton School District,AR,1200,4751,0510440,25.26
2477,5,30,Nevada School District,AR,151,399,0500030,37.84
11065,5,23,Newport School District,AR,525,1443,0500023,36.38
3931,5,10560,Norfork Schools,AR,117,543,0510560,21.55
53823,5,10680,North Little Rock School District,AR,2394,9124,0510680,26.24
2827,5,10920,Omaha School District,AR,56,431,0510920,12.99
6548,5,10950,Osceola School District,AR,389,1210,0510950,32.15
3981,5,73,Ouachita River School District,AR,128,578,0500073,22.15
2008,5,10980,Ouachita School District,AR,41,317,0510980,12.93
4716,5,76,Ozark Mountain School District,AR,253,817,0500076,30.97
10498,5,11010,Ozark School District,AR,335,1729,0511010,19.38
1768,5,51,Palestine-Wheatley School District,AR,47,292,0500051,16.1
3375,5,11070,Pangburn School District,AR,109,556,0511070,19.6
22595,5,17,Paragould School District,AR,596,3981,0500017,14.97
6761,5,11130,Paris School District,AR,201,1001,0511130,20.08
2672,5,11220,Parkers Chapel School District,AR,60,587,0511220,10.22
11362,5,3030,Pea Ridge School District,AR,181,2408,0503030,7.52
5090,5,11340,Perryville School District,AR,128,828,0511340,15.46
5273,5,11370,Piggott School District,AR,145,825,0511370,17.58
35947,5,26,Pine Bluff School District,AR,1691,5343,0500026,31.65
12530,5,11610,Pocahontas School District,AR,535,2241,0511610,23.87
6821,5,11700,Pottsville Public Schools,AR,221,1518,0511700,14.56
1236,5,11730,Poyen School District,AR,33,206,0511730,16.02
13705,5,11760,Prairie Grove School District,AR,254,2734,0511760,9.29
4875,5,11820,Prescott School District,AR,201,842,0511820,23.87
132624,5,11850,Pulaski County Special School District,AR,2999,22522,0511850,13.32
5259,5,11880,Quitman School District,AR,115,799,0511880,14.39
3671,5,4370,Rector School District,AR,107,585,0504370,18.29
5113,5,45,Rivercrest School District,AR,140,890,0500045,15.73
4526,5,12,Riverside School District,AR,133,895,0500012,14.86
7579,5,8400,Riverview School District,AR,377,1284,0508400,29.36
110600,5,11970,Rogers Public Schools,AR,2165,19452,0511970,11.13
4465,5,12000,Rose Bud School District,AR,128,796,0512000,16.08
39211,5,12060,Russellville Schools,AR,1436,6191,0512060,23.19
5012,5,12090,Salem School District,AR,173,851,0512090,20.33
2274,5,12180,Scranton School District,AR,49,394,0512180,12.44
6408,5,9480,Searcy County School District,AR,272,984,0509480,27.64
33823,5,12210,Searcy School District,AR,946,5333,0512210,17.74
27371,5,15,Sheridan School District,AR,525,4690,0500015,11.19
4195,5,12420,Shirley School District,AR,109,463,0512420,23.54
27469,5,12450,Siloam Springs Schools,AR,559,5144,0512450,10.87
4027,5,12480,Sloan-Hendrix School District,AR,143,652,0512480,21.93
5992,5,12510,Smackover-Norphlet School District,AR,146,1030,0512510,14.17
16061,5,12520,South Conway County School District,AR,533,2729,0512520,19.53
4629,5,10320,South Pike County School District,AR,154,711,0510320,21.66
3273,5,12570,South Side-Bee Branch School District,AR,95,543,0512570,17.5
5804,5,12540,Southside School District,AR,179,1066,0512540,16.79
1421,5,12630,Spring Hill School District,AR,77,299,0512630,25.75
119188,5,12660,Springdale School District,AR,3749,23949,0512660,15.65
8086,5,28,Star City School District,AR,299,1292,0500028,23.14
2500,5,12930,Strong School District,AR,70,406,0512930,17.24
8823,5,12960,Stuttgart School District,AR,480,1574,0512960,30.5
31497,5,13110,Texarkana School District,AR,1884,5310,0513110,35.48
9327,5,47,Trumann Schools,AR,565,1671,0500047,33.81
6313,5,79,Two Rivers School District,AR,231,1065,0500079,21.69
4792,5,13350,Valley Springs School District,AR,134,954,0513350,14.05
13169,5,13380,Valley View School District,AR,295,3027,0513380,9.75
34341,5,13410,Van Buren School District,AR,1022,6021,0513410,16.97
17184,5,13530,Vilonia School District,AR,349,3482,0513530,10.02
3296,5,13560,Viola School District,AR,102,541,0513560,18.85
8262,5,13680,Waldron School District,AR,348,1385,0513680,25.13
7677,5,6,Warren School District,AR,374,1381,0500006,27.08
14113,5,13930,Watson Chapel School District,AR,574,2101,0513930,27.32
6033,5,14010,West Fork School District,AR,117,992,0514010,11.79
24932,5,8040,West Memphis School District,AR,1848,4837,0508040,38.21
4496,5,14040,West Side School District,AR,108,544,0514040,19.85
2355,5,41,Western Yell County School District,AR,77,417,0500041,18.47
9619,5,4020,Westside Consolidated School District,AR,283,1843,0504020,15.36
3662,5,14020,Westside School District,AR,146,645,0514020,22.64
3800,5,4170,White County Central School District,AR,153,733,0504170,20.87
13298,5,14140,White Hall School District,AR,456,2404,0514140,18.97
2892,5,14370,Wonderview School District,AR,82,513,0514370,15.98
2513,5,14400,Woodlawn School District,AR,66,425,0514400,15.53
13090,5,14430,Wynne Public Schools,AR,569,2361,0514430,24.1
6466,5,14490,Yellville-Summit School District,AR,223,986,0514490,22.62
104130,6,1620,ABC Unified School District,CA,1774,16060,0601620,11.05
119606,6,1650,Acalanes Union High School District,CA,180,6286,0601650,2.86
3040,6,1680,Ackerman Elementary School District,CA,27,305,0601680,8.85
11965,6,1,Acton-Agua Dulce Unified School District,CA,187,1736,0600001,10.77
66762,6,1710,Adelanto Elementary School District,CA,1824,7766,0601710,23.49
76731,6,1770,Alameda City Unified School District,CA,619,10814,0601770,5.72
19870,6,1860,Albany City Unified School District,CA,111,2905,0601860,3.82
756,6,1890,Alexander Valley Union School District,CA,2,35,0601890,5.71
162955,6,153,Alhambra Unified School District,CA,2296,16102,0600153,14.26
59969,6,1950,Alisal Union Elementary School District,CA,1753,7656,0601950,22.9
564,6,1980,Allensworth Elementary School District,CA,37,108,0601980,34.26
1288,6,2010,Alpaugh Unified School District,CA,72,337,0602010,21.36
1099,6,2070,Alpine County Unified School District,CA,30,127,0602070,23.62
18883,6,2100,Alpine Union Elementary School District,CA,124,2068,0602100,6
55063,6,2160,Alta Loma Elementary School District,CA,511,5675,0602160,9
3155,6,2220,Alta Vista Elementary School District,CA,260,496,0602220,52.42
1839,6,2250,Alta-Dutch Flat Union Elementary School District,CA,11,135,0602250,8.15
111805,6,2310,Alum Rock Union Elementary School District,CA,1599,12225,0602310,13.08
1693,6,2360,Alview-Dairyland Union Elementary School District,CA,58,270,0602360,21.48
598,6,2370,Alvina Elementary School District,CA,28,82,0602370,34.15
116323,6,2430,Alvord Unified School District,CA,2326,20629,0602430,11.28
42026,6,2450,Amador County Unified School District,CA,577,4849,0602450,11.9
200999,6,2610,Anaheim Elementary School District,CA,2936,17497,0602610,16.78
396372,6,2630,Anaheim Union High School District,CA,4498,31252,0602630,14.39
40390,6,2700,Anderson Union High School District,CA,297,2453,0602700,12.11
3106,6,2730,Anderson Valley Unified School District,CA,75,487,0602730,15.4
6016,6,2760,Antelope Elementary School District,CA,132,625,0602760,21.12
398467,6,2820,Antelope Valley Union Joint High School District,CA,4566,27880,0602820,16.38
120675,6,2850,Antioch Unified School District,CA,3334,21168,0602850,15.75
85538,6,17,Apple Valley Unified School District,CA,3138,16178,0600017,19.4
56088,6,2970,Arcadia Unified School District,CA,852,9083,0602970,9.38
14678,6,3000,Arcata Elementary School District,CA,137,825,0603000,16.61
