leaid,district_name,fips_state,total_revenue,federal_revenue,state_local_revenue,state_abbr,saipe_district_name,total_pop,child_poverty_est,child_pop,pct_child_poverty
4840470,SLIDELL IND SCH DIST 908,48,10435,407,10028,TX,Slidell Independent School District,2598,54,408,13.24
4836300,QUITMAN IND SCH DIST 904,48,20296,2392,17904,TX,Rocksprings Independent School District,1163,62,189,32.80
4836300,QUITMAN IND SCH DIST 904,48,20296,2392,17904,TX,Quitman Independent School District,9330,227,1311,17.32
4832700,NEWCASTLE IND SCH DIST 902,48,10749,373,10376,TX,Rocksprings Independent School District,1163,62,189,32.80
4832700,NEWCASTLE IND SCH DIST 902,48,10749,373,10376,TX,Newcastle Independent School District,1007,26,200,13.00
4811490,BRONTE IND SCH DISTRICT 901,48,4698,575,4123,TX,Crosbyton Consolidated Independent School District,1914,136,347,39.19
4811490,BRONTE IND SCH DISTRICT 901,48,4698,575,4123,TX,Alvarado Independent School District,24692,509,4554,11.18
4811490,BRONTE IND SCH DISTRICT 901,48,4698,575,4123,TX,Bronte Independent School District,1477,56,263,21.29
4809810,BELLVILLE IND SCH DIST 901,48,36148,3944,32204,,,,,,
4809570,BASTROP IND SCH DIST 901,48,211408,22136,189272,,,,,,
4839780,SEYMOUR INDEPENDENT SCH DISTRICT 901,48,10309,879,9430,TX,Rocksprings Independent School District,1163,62,189,32.80
4839780,SEYMOUR INDEPENDENT SCH DISTRICT 901,48,10309,879,9430,TX,Seymour Independent School District,3564,133,581,22.89
4840410,SKIDMORE-TYNON IND SCH DISTRICT 905,48,16966,1468,15498,TX,Skidmore-Tynan Independent School District,2707,77,482,15.98
4837710,ROGERS IND SCH DIST 907,48,13955,745,13210,TX,Rocksprings Independent School District,1163,62,189,32.80
4837710,ROGERS IND SCH DIST 907,48,13955,745,13210,TX,Rogers Independent School District,4288,94,876,10.73
4840620,SNOOK IND SCH DIST 903,48,10680,772,9908,TX,Snook Independent School District,3700,122,662,18.43
4828590,LULING IND SCH DIST 903,48,20064,2411,17653,TX,Spur Independent School District,1443,36,179,20.11
4828590,LULING IND SCH DIST 903,48,20064,2411,17653,TX,Luling Independent School District,9245,207,1450,14.28
4814450,CLYDE IND SCH DIST 902,48,22255,1834,20421,TX,Crosbyton Consolidated Independent School District,1914,136,347,39.19
4814450,CLYDE IND SCH DIST 902,48,22255,1834,20421,TX,Clyde Consolidated Independent School District,13545,148,1499,9.87
4822530,HARLINGEN IND SCH DISTRICT 903,48,249820,58904,190916,TX,Spur Independent School District,1443,36,179,20.11
4822530,HARLINGEN IND SCH DISTRICT 903,48,249820,58904,190916,TX,Harlingen Consolidated Independent School District,92805,5171,18367,28.15
4837170,RIO HONDO IND SCH DIST 911,48,26047,4010,22037,TX,Rocksprings Independent School District,1163,62,189,32.80
4837170,RIO HONDO IND SCH DIST 911,48,26047,4010,22037,TX,Rio Hondo Independent School District,8741,494,1808,27.32
4833980,PAINT ROCK IND SCH DIST 903,48,6576,682,5894,TX,Rocksprings Independent School District,1163,62,189,32.80
4833980,PAINT ROCK IND SCH DIST 903,48,6576,682,5894,TX,Paint Rock Independent School District,653,13,69,18.84
4831860,MUENSTER IND SCH DIST,48,9823,381,9442,TX,Rocksprings Independent School District,1163,62,189,32.80
4831860,MUENSTER IND SCH DIST,48,9823,381,9442,TX,Muenster Independent School District,3077,30,587,5.11
4820500,GATESVILLE IND SCH DIST 902,48,36648,3796,32852,TX,Spur Independent School District,1443,36,179,20.11
4820500,GATESVILLE IND SCH DIST 902,48,36648,3796,32852,TX,Gatesville Independent School District,25023,614,2951,20.81
4800001,CROSBYTON IND SCH DIST 901,48,7749,1809,5940,,,,,,
4808910,AUBREY IND SCH DISTRICT 907,48,72737,1829,70908,,,,,,
4817960,EASTLAND IND SCH DISTRICT 903,48,16473,1978,14495,TX,Crosbyton Consolidated Independent School District,1914,136,347,39.19
4817960,EASTLAND IND SCH DISTRICT 903,48,16473,1978,14495,TX,Eastland Independent School District,6468,228,961,23.73
4809030,AVALON IND SCH DIST 901,48,5224,424,4800,,,,,,
4816110,CYPRESS-FAIRBANKS IND SCHOOL DISTRICT 907,48,1687732,263194,1424538,TX,Crosbyton Consolidated Independent School District,1914,136,347,39.19
4816110,CYPRESS-FAIRBANKS IND SCHOOL DISTRICT 907,48,1687732,263194,1424538,TX,Cypress-Fairbanks Independent School District,649749,21530,130101,16.55
4831230,MONTE ALTO IND SCH DIST 915,48,17620,4260,13360,TX,Rocksprings Independent School District,1163,62,189,32.80
4831230,MONTE ALTO IND SCH DIST 915,48,17620,4260,13360,TX,Monte Alto Independent School District,4530,285,1078,26.44
4844960,WESLACO IND SCH DIST 913,48,241263,59013,182250,TX,Weslaco Independent School District,76115,4666,16588,28.13
4812360,BYNUM IND SCH DIST 902,48,3638,252,3386,TX,Crosbyton Consolidated Independent School District,1914,136,347,39.19
4812360,BYNUM IND SCH DIST 902,48,3638,252,3386,TX,Chisum Independent School District,5206,142,1006,14.12
4812360,BYNUM IND SCH DIST 902,48,3638,252,3386,TX,Bynum Independent School District,901,15,157,9.55
4827240,LEVELLAND IND SCH DIST 902,48,42047,5733,36314,TX,Spur Independent School District,1443,36,179,20.11
4827240,LEVELLAND IND SCH DIST 902,48,42047,5733,36314,TX,Levelland Independent School District,15279,688,2964,23.21
4843740,VALENTINE IND SCH DIST 902,48,1931,18,1913,TX,Valentine Independent School District,243,2,7,28.57
4839570,SCURRY-ROSSER IND SCH DIST 910,48,17444,1411,16033,TX,Rocksprings Independent School District,1163,62,189,32.80
4839570,SCURRY-ROSSER IND SCH DIST 910,48,17444,1411,16033,TX,Scurry-Rosser Independent School District,6675,130,1328,9.79
4825020,JUNCTION IND SCH DIST 901,48,9288,1563,7725,TX,Spur Independent School District,1443,36,179,20.11
4825020,JUNCTION IND SCH DIST 901,48,9288,1563,7725,TX,Junction Independent School District,4024,154,544,28.31
4836930,RICARDO IND SCH DIST 902,48,11311,1192,10119,TX,Rocksprings Independent School District,1163,62,189,32.80
4836930,RICARDO IND SCH DIST 902,48,11311,1192,10119,TX,Ricardo Independent School District,3625,147,719,20.45
4831970,MUNDAY IND SCH DIST 903,48,7542,533,7009,TX,Rocksprings Independent School District,1163,62,189,32.80
