destinationtable,rcdts,level,school_name,district,city,county,district_type,school_type,grades_served,percent_of_kindergartners_rated_on_14_required_measures,percent_of_kindergartners_demonstrating_readiness_in_zero_devel,percent_of_kindergartners_demonstrating_readiness_in_one_develo,percent_of_kindergartners_demonstrating_readiness_in_two_develo,percent_of_kindergartners_demonstrating_readiness_in_all_three_,percent_of_kindergartners_demonstrating_readiness_in_all_thre_1,percent_of_kindergartners_demonstrating_readiness_in_all_thre_2,percent_of_kindergartners_demonstrating_readiness_in_all_thre_3,percent_of_kindergartners_demonstrating_readiness_in_all_thre_4,percent_of_kindergartners_demonstrating_readiness_in_all_thre_5,percent_of_kindergartners_demonstrating_readiness_in_all_thre_6,percent_of_kindergartners_demonstrating_readiness_in_all_thre_7,percent_of_kindergartners_demonstrating_readiness_in_all_thre_8,percent_of_kindergartners_demonstrating_readiness_in_all_thre_9,percent_of_kindergartners_demonstrating_readiness_in_all_thr_10,percent_of_kindergartners_demonstrating_readiness_in_all_thr_11,percent_of_kindergartners_demonstrating_readiness_in_all_thr_12,percent_of_kindergartners_demonstrating_readiness_in_all_thr_13,percent_of_kindergartners_demonstrating_readiness_in_all_thr_14,percent_of_kindergartners_demonstrating_readiness_in_all_thr_15,percent_of_kindergartners_demonstrating_readiness_in_all_thr_16,percent_of_kindergartners_demonstrating_readiness_in_social_and,percent_of_kindergartners_demonstrating_readiness_in_language_a,percent_of_kindergartners_demonstrating_readiness_in_math
KIDS1,05-016-2140-17-0007,School,Rolling Meadows High School,Township HSD 214,Rolling Meadows,Cook,High School District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,05-016-2140-17-0006,School,Wheeling High School,Township HSD 214,Wheeling,Cook,High School District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,53-090-7020-26-2003,School,Tremont Elem School,Tremont CUSD 702,Tremont,Tazewell,Unit District,Elementary School,PK - 4,100,37.5,25,17.9,19.6,,*,*,,,,*,,,,,*,*,,*,,53.6,44.6,21.4
KIDS1,53-090-7020-26-0001,School,Tremont High School,Tremont CUSD 702,Tremont,Tazewell,Unit District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,53-090-7020-26-1001,School,Tremont Middle School,Tremont CUSD 702,Tremont,Tazewell,Unit District,Middle/Junior High School,5 - 8,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,51-084-0010-26-2001,School,Tri-City Elem School,Tri City CUSD 1,Buffalo,Sangamon,Unit District,Elementary School,PK - 5,100,40,,40,,,,,,,,,,,,,*,*,,*,,52.5,47.5,
KIDS1,51-084-0010-26-0001,School,Tri-City High School,Tri City CUSD 1,Buffalo,Sangamon,Unit District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,51-084-0010-26-1001,School,Tri-City Jr High School,Tri City CUSD 1,Buffalo,Sangamon,Unit District,Middle/Junior High School,6 - 8,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,17-053-006J-26-2005,School,Tri Point Elementary School,Tri Point CUSD 6-J,Kempton,Livingston,Unit District,Elementary School,PK - 3,100,,,,,,,*,,,,*,,,,,*,*,,*,*,74.1,51.9,37
KIDS1,17-053-006J-26-0001,School,Tri-Point High School,Tri Point CUSD 6-J,Cullom,Livingston,Unit District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,17-053-006J-26-2006,School,Tri-Point Jr High/Elementary,Tri Point CUSD 6-J,Piper City,Livingston,Unit District,Elementary School,PK - 8,,,,,,,,,,,,,,,,,,,,,,,,
