ceeb,school_name,state,latitude,longitude,us_region,is_school_match,is_public_hs,is_private_hs,sector,has_nu_analytics,has_nu_data,crime_risk_need,crime_risk_adv,educational_attainment_need,educational_attainment_adv,family_stability_need,family_stability_adv,housing_stability_need,housing_stability_adv,median_family_income_need,median_family_income_adv,socio_need_index,ap_offered,ap_tests_taken,ap_participation,ap_intensity_src,ap_score_nu,ap_pct_students_nu,ap_tests_offered,ap_take_rate,dual_enrollment_offered,dual_enrollment_rate,testtaker_rate,sat_participation_nu,sat_score_nu,act_composite_il,grad_rate_2021,frl_rate,enrollment_9_12,grade_9,grade_10,grade_11,grade_12,child_poverty_saipe,per_pupil_state_local,leaid,district_total_revenue,per_resident_child_funding_total,per_resident_child_funding_state_local,funding_source,percent_going_to_college_mid,percent_going_to_4yr_college_mid,percent_federal_lunch_aid_mid,percent_first_gen_college_mid,number_of_ap_classes_offered_mid,size_of_senior_class_mid,ap_capstone,setting,ib_flag_candidate,ib_programme_count,meets_min_size,crdc_ib_enrollment,ib_flag_v2,ib_flag_v2_source,rigor_score,rigor_tier_num,rigor_tier_label,rigor_n_components_used,rigor_components_available,rigor_weighting_scheme,rigor_tier_method,rigor_tier_num_quantile,rigor_tier_label_quantile,funding_tier,sat_percentile_by_us_region,sat_percentile_by_funding_tier,sat_percentile_by_rigor_tier_label
440263,MANSFIELD TIMBERVIEW H S,TX,32.6255,-97.0784,US - South,True,True,False,public,True,True,69.0,31.0,30.0,70.0,4.0,96.0,48.0,52.0,24.0,76.0,35.0,1,3.39,0.3450782997762863,nu_tests_taken,2.15,52.0,32.0,0.1059375,1,0.0827740492170022,0.2701342281879195,94.0,1090.0,,96.0,58.557046979865774,1788.0,452.0,451.0,436.0,449.0,14.9,,4828920.0,505797000.0,12807.905598744015,11981.362842166567,census_f33_per_resident_child_proxy,,,,,,,1,11-City: Large,0,,True,,0.0,crdc_2122,-0.2837562745961816,1.0,Average,5,ap_opportunity+ap_performance+crdc_coursework+test_participation+test_performance,designed,natural,1.0,Average,Q1 (lowest funding),24.717673630717112,25.976174718729318,24.36456996148909
440265,SOUTHWEST H S,TX,29.346,-98.6464,US - South,True,True,False,public,True,True,32.0,68.0,86.0,14.0,54.0,46.0,52.0,48.0,75.0,25.0,59.8,1,1.67,0.1189166314007617,nu_tests_taken,1.9,26.0,19.0,0.0878947368421052,1,0.1307659754549301,0.3000423190859077,99.0,1080.0,,98.0,74.39695302581464,2363.0,672.0,602.0,519.0,570.0,17.1,,4840950.0,229970000.0,14936.996622499351,13041.244479085475,census_f33_per_resident_child_proxy,63.0,,,,,300.5,0,Suburban community,0,,True,,0.0,crdc_2122,-0.6840459206585963,1.0,Average,5,ap_opportunity+ap_performance+crdc_coursework+test_participation+test_performance,designed,natural,0.0,Below Average,Q2 (mid funding),20.5957086391869,16.029593094944513,18.472400513478817
440266,High Point Preparatory Academy,,32.6811332702637,-97.0686950683594,US - South,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,,,,,0,,,,,,,,,,,,,,,,,,,none,,,,,,,0,,0,,True,,,,,,,0,none,designed,natural,,,,,,
440269,ATHENS H S,TX,32.202823638916,-95.84619140625,US - South,True,True,False,public,True,True,59.0,41.0,73.0,27.0,77.0,23.0,55.0,45.0,80.0,20.0,68.8,1,3.43,0.1820250284414107,nu_tests_taken,1.3,56.0,13.0,0.2638461538461538,1,0.3708759954493743,0.2593856655290102,20.0,1090.0,,92.0,70.42093287827076,879.0,242.0,235.0,182.0,220.0,23.0,,4808870.0,53348000.0,13567.6500508647,10985.757884028484,census_f33_per_resident_child_proxy,82.5,24.5,64.5,,17.5,300.5,0,Rural area,0,,True,,0.0,crdc_2122,-0.4833196292780902,1.0,Average,5,ap_opportunity+ap_performance+crdc_coursework+test_participation+test_performance,designed,natural,1.0,Average,Q1 (lowest funding),24.717673630717112,25.976174718729318,24.36456996148909
440270,Athens Christian Prep Academy,,32.2054138183594,-95.850830078125,US - South,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,,,,,0,,,,,,,,,,,,,,,,,,,none,,,,,,,0,,0,,True,,,,,,,0,none,designed,natural,,,,,,
440271,Central Baptist Schools,,32.1935,-95.8432,US - South,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,,,,,0,,,,,,,,,,,,,,,,,,,none,,,,,,,0,Small city/town,0,,True,,,,,,,0,none,designed,natural,,,,,,
440272,Vanguard International Academy,,32.7203636169434,-97.10302734375,US - South,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,,,,,0,,,,,,,,,,,,,,,,,,,none,,,,,,,0,,0,,True,,,,,,,0,none,designed,natural,,,,,,
440274,Lake Houston Academy,,30.0042,-95.1728,US - South,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,,,,,0,,,,,,,,,,,,,,,,,,,none,,,,,,50.0,0,Large city,0,,True,,,,,,,0,none,designed,natural,,,,,,
440280,ATLANTA H S,TX,33.109,-94.1646,US - South,True,True,False,public,False,True,,,,,,,,,,,,1,,0.0978473581213307,crdc_participation,,,,,1,0.2641878669275929,0.2211350293542074,,,,97.5,58.70841487279843,511.0,138.0,122.0,117.0,134.0,20.7,,4808880.0,32445000.0,17642.74061990212,13135.94344752583,census_f33_per_resident_child_proxy,38.0,,,,,300.5,0,Small city/town,0,,True,,0.0,crdc_2122,0.0424713261523114,2.0,Demanding,2,crdc_coursework+test_participation,designed,natural,2.0,Demanding,Q2 (mid funding),,,
440284,Atlanta Christian Academy,,33.1557,-94.1537,US - South,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,,,,,0,,,,,,,,,,,,,,,,,,,none,,,,,,,0,Small city/town,0,,True,,,,,,,0,none,designed,natural,,,,,,
