ceeb,school_name,state,sector,rigor_score_default,rigor_tier_default,rigor_score_scenarioA,rigor_tier_scenarioA,ib_intensity_v2
053276,Adrian Wilcox High,CA,public,0.4747505876627133,Demanding,0.44176536108913966,Demanding,0.0
053277,Saint Lawrence Academy,,private,,,,,
053280,SANTA CLARA HIGH SCHOOL,CA,private,0.44693091515777117,Demanding,0.33057852107548746,Demanding,0.0
053284,Popper-Keizer Honor School,,private,,,,,
053286,North Valley Baptist Schools,,private,,,,,
053287,New Roads School,,private,0.1137814850565682,Demanding,0.1137814850565682,Demanding,
053288,Cornerstone Christian School,,private,,,,,
053289,Potters House Christian School,,private,,,,,
053290,Georgiana Bruce Kirby Prep Sch,,private,0.604470882203914,Very Demanding,0.604470882203914,Very Demanding,
053291,Traveling School International,,private,,,,,
053292,Ark Independent Studies,CA,public,-1.0528574268354423,Below Average,-0.9167509934282538,Below Average,0.0
053293,Harbor High,CA,public,-0.4246389092339402,Average,-0.3003636614366322,Average,0.06712734452122408
053294,Costanoa Continuation High,CA,public,-1.324147555094183,Below Average,-0.644538126613877,Below Average,0.0
053295,Fairmont Schls San Juan Cpstrn,,private,,,,,
053297,Santa Cruz High,CA,public,0.1312046461738152,Demanding,0.12938761204343233,Demanding,0.0
053300,Santa Fe High,CA,public,-0.598097637017893,Average,-0.6032244099873981,Below Average,0.0
053302,Delta High,CA,public,-1.324147555094183,Below Average,-0.644538126613877,Below Average,0.0
053303,Ernest Righetti High,CA,public,-0.07745104781710743,Demanding,-0.09777190200984828,Average,0.0
053304,ST JOSEPH HIGH SCHOOL,CA,private,0.12876334982692933,Demanding,0.07604446881081403,Demanding,0.0
053305,Santa Maria High,CA,public,-0.10456459374422705,Demanding,-0.11256955075407094,Average,0.0
053307,Crossroads School,,private,0.4983846250241876,Demanding,0.4983846250241876,Demanding,
053309,Olympic High (Continuation),CA,public,-1.324147555094183,Below Average,-0.644538126613877,Below Average,0.0
053310,Saint Monica Catholic HS,,private,-0.42625004540724415,Average,-0.42625004540724415,Average,
053311,Valley Christian Academy,,private,,,,,
053314,Chesterton Acdmy Vlly Scrd Hrt,,private,,,,,
053316,Elsie Allen High,CA,public,-0.7303053513296573,Average,-0.6610347966747667,Below Average,0.0
053317,Wilshire West School,,private,,,,,
053318,Lighthouse School,,private,0.3733967383084278,Demanding,0.3733967383084278,Demanding,
053319,Open Bible Christian Academy,,private,,,,,
053320,Santa Monica High,CA,public,0.7332494140237326,Very Demanding,0.3776016741141257,Demanding,0.0
053321,Santa Rosa Christian School,,private,,,,,
053323,Windward School,,private,1.136589401230453,Very Demanding,1.136589401230453,Very Demanding,
053324,Rincon Valley Christian School,,private,,,,,
053325,Santa Paula High,CA,public,-0.5507739889273041,Average,-0.5403575418008414,Average,0.0
053326,CARDINAL NEWMAN HIGH SCHOOL,CA,private,0.2528864269797336,Demanding,0.17534293053305744,Demanding,0.0
053327,Redwood Adventist Academy,,private,,,,,
053328,Montgomery High,CA,public,-0.3115449245213914,Average,-0.23035202263155166,Average,0.0
