ncessch,school_name,city,state,zip,school_level,total_students,frl_students,pupil_teacher_ratio,rcdts,summative_designation,title_i_status,isbe_enrollment,district_total_revenue,district_federal_revenue,state_child_poverty_est,state_child_pop
1701044,Tanner Elem School,Chicago,IL ,60619,Elementary,272,263,11.57,15-016-2990-25-2479,Targeted,Title 1 Schoolwide,271,,,267982,2037081
1706356,TAPESTRY ALOP,Maywood,IL ,60153,Other,0,,,,,,,,,267982,2037081
1705803,Tarkington Elem School,Chicago,IL ,60629,Elementary,791,736,13.64,15-016-2990-25-2943,Commendable,Title 1 Schoolwide,788,,,267982,2037081
1701120,Taylor Elem School,Chicago,IL ,60617,Elementary,337,297,11.14,15-016-2990-25-2480,Commendable,Title 1 Schoolwide,336,,,267982,2037081
1703551,Taylor Ridge Elem School,Taylor Ridge,IL ,61284,Elementary,138,31,14.15,49-081-3000-26-2006,Commendable,Title 1 Targeted,137,,,267982,2037081
1703937,Taylorville Jr High School,Taylorville,IL ,62568,Middle,614,290,13.89,03-011-0030-26-1005,Commendable,Title 1 Eligible but Not Served,612,,,267982,2037081
1703938,Taylorville Sr High School,Taylorville,IL ,62568,High,739,277,14.63,03-011-0030-26-0006,Commendable,Title 1 Eligible but Not Served,717,,,267982,2037081
1706793,Tazewell Co Area EFE RDS,Pekin,IL ,61554,High,0,,,,,,,,,267982,2037081
1706857,TCSE-Anna Jonesboro HS,Anna,IL ,62906,Not Reported,,,,,,,,,,267982,2037081
1706907,TCSE ASPIRE Academy,Murphysboro,IL ,62966,Other,0,,0,,,,,,,267982,2037081
1706866,TCSE-CARBONDALE HS,Carbondale,IL ,62902,Not Reported,,,,,,,,,,267982,2037081
1706858,TCSE Carruthers Elem,Murphysboro,IL ,62966,Not Reported,,,,,,,,,,267982,2037081
1706859,TCSE-DESOTO ELEM,De Soto,IL ,62924,Not Reported,,,,,,,,,,267982,2037081
1706860,TCSE-DUQUOIN HS,Du Quoin,IL ,62832,Not Reported,,,,,,,,,,267982,2037081
1706861,TCSE-DUQUOIN MS,Du Quoin,IL ,62832,Not Reported,,,,,,,,,,267982,2037081
1706862,TCSE-JONESBORO GRADE SCH,Jonesboro,IL ,62952,Not Reported,,,,,,,,,,267982,2037081
1706863,TCSE-MCELVAIN EC,Murphysboro,IL ,62966,Not Reported,,,,,,,,,,267982,2037081
1706864,TCSE-MURPHYSBORO HS,Murphysboro,IL ,62966,Not Reported,,,,,,,,,,267982,2037081
1706865,TCSE-UNITY POINT ELEM,Carbondale,IL ,62903,Not Reported,,,,,,,,,,267982,2037081
