leaid,district_name,fips_state,state_code,fiscal_year,total_revenue_000s,federal_revenue_000s,state_revenue_000s,local_revenue_000s,total_expenditure_000s,current_exp_elem_secondary_000s,instruction_expenditure_000s,support_services_expenditure_000s,capital_outlay_000s,total_salaries_000s,instruction_salaries_000s,total_benefits_000s
0624300,MCKINLEYVILLE UNION ELEM SCH DIST,6,5,24,19381,2190,7522,9669,19392,15933,9785,5263,1174,924,9405,0
0628830,ORICK ELEM SCH DIST,6,5,24,804,86,521,197,967,921,344,452,0,10,330,0
0632730,RIO DELL ELEM SCH DIST,6,5,24,6829,833,4877,1119,6912,6170,4178,1635,583,307,4026,0
0637350,SOUTH BAY UNION ELEM SCH DIST,6,5,24,10399,740,7349,2310,10546,8312,4919,2932,1212,407,4759,0
0600052,EUREKA CITY UNIFIED SCHOOL DISTRICT,6,5,24,90434,11272,46064,33098,81555,62299,31422,27506,10887,3538,30134,0
0629400,PACIFIC UNION ELEM SCH DIST,6,5,24,9686,905,5973,2808,9060,7872,5748,1870,301,345,5495,0
0606990,CALIPATRIA UNIFIED SCH DIST,6,5,24,30184,3924,17219,9041,26814,23676,14654,8090,687,1086,14108,0
0618210,IMPERIAL UNIF SCH DIST,6,5,24,84246,5118,63104,16024,89805,76093,48173,24693,10964,4672,46168,0
0635070,SAN PASQUAL VAL UNIFIED SCH DIST,6,5,24,22232,8685,10837,2710,22314,19060,9739,8509,2809,589,9356,0
0604260,BEARDSLEY ELEM SCH DIST,6,5,24,47711,5510,30077,12124,45404,40182,22876,14954,2062,1946,22076,0
0605250,BLAKE ELEM SCH DIST,6,5,24,432,36,289,107,330,330,182,133,0,19,175,0
0612360,ELK HILLS ELEM SCH DIST,6,5,24,4098,483,2531,1084,3282,3029,1614,1178,18,167,1551,0
0616050,GREENFIELD UNION SCHOOL DISTRICT,6,5,24,225728,20339,176255,29134,211578,167981,96521,62896,34558,9021,93442,0
0619590,KERNVILLE UNION ELEM SCH DIST,6,5,24,22878,3145,14278,5455,19983,18110,8830,8469,653,779,8491,0
0620730,LAKESIDE UNION ELEMENTARY SCHOOL DISTRICT,6,5,24,31815,1494,20697,9624,27475,21427,12342,7887,1409,1599,11813,0
0624230,MCFARLAND UNIFIED SCHOOL DIST,6,5,24,93119,12091,63141,17887,85223,62736,34711,24710,17834,3274,33462,0
0624330,MCKITTRICK ELEM SCH DIST,6,5,24,3377,41,539,2797,3286,3133,1582,1551,141,69,1516,0
0625230,MOJAVE UNIFIED SCHOOL DISTRICT,6,5,24,77260,11965,32563,32732,65871,58527,27974,27547,5038,2842,27188,0
0606390,PANAMA BUENA VISTA UNION SCH DT,6,5,24,391450,29149,312097,50204,375819,337930,197687,125959,29622,19369,189022,0
0631350,POND UNION ELEM SCH DIST,6,5,24,4529,799,2323,1407,4417,4000,2504,1320,364,169,2418,0
0632710,RIO BRAVO-GREELEY UNION SCHOOL DIST,6,5,24,20667,1071,9737,9859,17903,16888,9053,6867,161,1037,8775,0
0633480,ROSEDALE UNION ELEM SCH DIST,6,5,24,108729,3510,73573,31646,94457,88894,51209,33258,1098,6213,49568,0
0615000,GEN SHAFTER ELEM SCH DIST,6,5,24,6366,276,1110,4980,4694,3870,2113,1515,33,184,2023,0
0638700,TAFT CITY SCHOOL DISTRICT,6,5,24,63081,12200,34136,16745,45929,40522,22442,13852,2432,2383,21532,0
0638880,TEHACHAPI UNIF SCHOOL DIST,6,5,24,72710,8498,42880,21332,70515,64829,34455,28648,4384,4219,32865,0
0641400,WASCO UNION ELEM SCH DIST,6,5,24,87558,12102,61216,14240,86558,70512,38188,27648,11415,3473,36556,0
0603180,ARMONA UNION ELEMENTARY SCHOOL DISTRICT,6,5,24,29355,3148,22623,3584,24886,20248,11668,7176,3896,1092,11167,0
0621360,LEMOORE UNION ELEMENTARY SCHOOL DISTRICT,6,5,24,67399,7147,52878,7374,60009,54243,29755,21841,3503,3216,28507,0
0632270,REEF SUNSET UNIFIED SCHOOL DISTRICT,6,5,24,80598,9989,63423,7186,73048,52033,26434,21866,18416,2687,25426,0
0620670,LAKEPORT UNIFIED SCHOOL DISTRICT,6,5,24,32042,2864,18724,10454,31305,25862,14738,10144,1235,1359,14180,0
0618780,JANESVILLE UNIFIED ELEMENTARY SCHOOL DISTRICT,6,5,24,5660,416,4298,946,5217,5065,3131,1721,141,313,2995,0
0621060,LASSEN UNION HIGH SCHOOL DISTRICT,6,5,24,15373,1042,8559,5772,15430,14336,8162,5811,962,845,7829,0
0631830,RAVENDALE-TERMO ELEMENTARY SCHOOL DISTRICT,6,5,24,534,27,381,126,425,350,142,190,75,6,136,0
0605010,BIG VALLEY JOINT UNIFIED SCHOOL DISTRICT,6,5,24,3334,321,1218,1795,3169,2962,1356,1452,150,117,1297,0
0603690,BALDWIN PARK UNIFIED SCHOOL DISTRICT,6,5,24,319658,41958,199396,78304,280115,227481,132988,84790,33312,9929,126334,0
0604830,BEVERLY HILLS UNIFIED SCHOOL DISTRICT,6,5,24,157336,3020,10471,143845,164262,98059,52582,43032,42615,3074,49180,0
0607740,CASTAIC UNION SCHOOL DISTRICT,6,5,24,33257,1036,18587,13634,35448,32271,19891,12380,1084,1938,18876,0
0607920,CENTINELA VALLEY UNION HIGH SCHOOL DIST,6,5,24,174174,19146,90713,64315,184215,118513,63513,49321,43787,5600,61675,0
0608760,CLAREMONT UNI SCH DIST,6,5,24,133897,7961,79133,46803,128743,105400,57366,44066,6375,6261,54593,0
0611460,DOWNEY UNIF SCH DIST,6,5,24,550276,56550,368101,125625,508451,437464,284175,132347,28489,22421,270667,0
0611520,DUARTE UNIF SCH DIST,6,5,24,84959,9993,44343,30623,77905,59790,34169,22495,10922,2980,32420,0
0611850,EAST WHITTIER ELEM SCH DIST,6,5,24,148713,12077,102157,34479,156467,143576,94782,42852,9533,7769,90455,0
0612090,EL MONTE CITY SCHOOL DISTRICT,6,5,24,227516,41045,127898,58573,201570,190140,114784,64720,5437,7045,110438,0
0612210,EL SEGUNDO UNI SCH DIST,6,5,24,66123,1654,34949,29520,84128,56264,35157,18583,17879,3563,33460,0
0614940,GARVEY ELEM SCH DIST,6,5,24,116256,11701,68964,35591,117047,104062,57875,41541,9587,4266,57875,0
0616680,HAWTHORNE ELEM SCH DIST,6,5,24,176733,18485,129807,28441,159819,145895,82442,55146,4418,7025,78326,0
0617880,HUGHES ELIZABETH LAKES UNION SCH DIST,6,5,24,3501,241,1424,1836,2619,2575,1610,965,44,48,1561,0
0618390,INGLEWOOD UNI SCH DIST,6,5,24,236228,38737,112094,85397,205834,182908,114917,61125,11560,7011,111149,0
0621210,LAWNDALE ELEM SCH DIST,6,5,24,231759,44870,161837,25052,231769,119147,75186,39057,7391,4420,72412,0
