school_id,school_name,address,city,state,zip,county,sector,charter,total_enrollment,enrollment_9_12,grad_rate_2021,crdc_ap_courses,ib_flag_v2,crdc_fte_counselors,county_median_hh_income,county_pct_child_poverty_saipe,nces_id_12,ceeb,rigor_tier_v4,audit_note
1500275,Hakipuu Academy,45-720 Keaahala Rd,Kaneohe,HI,96744,Honolulu County,public,1-Yes,55,42,,,0.0,0.5,106195,9.1,150003000275,,,
4702656,Jefferson Virtual Academy,3081 West Old AJ HWY,Strawberry Plains,TN,37871,Jefferson County,public,2-No,55,34,,9,0.0,0,66114,15.5,470210002656,,,
2704369,TASSEL TRANSITION,11840 VALLEY VIEW RD,EDEN PRAIRIE,MN,55344,Hennepin County,public,2-No,55,55,,,,,,,,,,
0614385,Edward P. Duplex,1010 Wheatland Rd.,Wheatland,CA,95692,Yuba County,public,2-No,55,55,74.5,,0.0,0,76373,18.3,064235014385,,,
4805407,THE PHOENIX ACADEMY,902 E BROAD ST,MANSFIELD,TX,76063,Tarrant County,public,2-No,54,54,,,,,,,,,,
4702408,Sumner County Middle College High School,1480 Nashville PIKE,Gallatin,TN,37066,Sumner County,public,2-No,54,54,,,,,,,,431446,Average,
0401833,Superstition High School,10222 E SOUTHERN AVE,MESA,AZ,85209,Maricopa County,public,2-No,54,46,,,,,89300,12.4,040497001833,030430,Below Average,
2704250,917 DCALS North,150 MARIE AVE E,WEST SAINT PAUL,MN,55118,Dakota County,public,2-No,54,54,52,,0.0,0,106318,5.9,270002604250,,,
A2301582,MESIVTA TORAS MAIER,35 BROOK AVE,PASSAIC,NJ,7055,PASSAIC,private,,54,54,,,0.0,,87522,17.2,,,,
1203338,THE PACE PROGRAM,201 N 1ST ST,IMMOKALEE,FL,34142,Collier County,public,2-No,54,40,,,,0,90045,12.2,120033003338,,,
0601286,Mt. Olive Innovation and Technology High,1400 Mt. Olive Dr.,Duarte,CA,91010,Los Angeles County,public,2-No,54,54,74.5,,0.0,0,90112,16.2,061152001286,050782,Below Average,
2901178,W. E. SEARS YOUTH CTR.,9400 SEARS LN,POPLAR BLUFF,MO,63901,Butler County,public,2-No,54,46,50,,,0,49089,26.4,290000901178,,,
2700325,RED LAKE ALTERNATIVE LEARNING,23990 HWY 1 E,RED LAKE,MN,56671,Beltrami County,public,2-No,53,53,5,,0.0,0,68975,17.4,273051000325,,,
3001138,Bronc Fast Track,17620 Frontage Road,Frenchtown,MT,59834,Missoula County,public,†,53,53,,,,,,,,,,
A1500411,YESHIVA NER ARYEH,12500 BURBANK BLVD,VALLEY VILLAGE,CA,91607,LOS ANGELES,private,,53,53,,,0.0,,90112,16.2,,,,
1601151,CARDINAL ACADEMY,9492 WEST EMERALD STREET,BOISE,ID,83704,Ada County,public,1-Yes,53,53,,,,,91502,6.8,160020001151,,,
