guid,name,city,ceeb,ceeb_padded,suspected_counterpart_ceeb,custom_id
f8167008-89c3-497d-94e3-1650dcfc2039,Cassville Senior High School,Cassville,500360,500360,050036,0026963
ee9ea6a2-77fa-524a-82ff-f478f255e7ab,Catapult Academy,Daytona Beach,102230,102230,010223,
2a0f88f1-9f65-4549-9d2f-45b302f8f980,Cedarburg High School,Cedarburg,500370,500370,050037,0026697
f9f86816-dacb-4b49-8dc8-4fed744b0994,Central De Artes Visuales,Santurce,545760,545760,054576,0022005
ae3003d2-e02b-4cc4-b9a7-0f97571a1bef,Central High School,Macon,111960,111960,011196,0006422
d1cc8b74-7287-4429-a80f-c7af855a95b5,Central High School,Aberdeen,420000,420000,042000,0022664
558c4a64-a533-42ce-904c-296afaffce3d,Central Maine Christian Acad,Lewiston,200030,200030,020003,
bc85d209-6c48-de14-d293-0ab1c061024e,Central Pasco Girls Academy,Land O Lakes,100030,100030,010003,
7f7f80ff-34e0-4962-93b0-8c0f6a1a3ec9,Chamberlain High School,Chamberlain,420240,420240,042024,0022631
ceb13418-5563-421d-b64b-81b095f1ab13,Charlton County High School,Folkston,111300,111300,011130,OID16155
cbcc43e3-c217-4896-97ed-505c8da4dfe3,Chattahoochee HS,Chattahoochee,100240,100240,010024,0005065
6cf6348a-31df-488f-90e2-95d816d5aa6f,Chilton High School,Chilton,500390,500390,050039,0026699
43f7e84f-dc7c-4988-8e9a-50b227c3dde3,Chippewa Falls Senior HS,Chippewa Falls,500400,500400,050040,0027210
18dadfb7-b9ec-3f6e-6408-502d26d63550,Christian Home Academy,Orange Park,102000,102000,010200,
ce8cdc9f-932d-4837-b9ae-19339113d266,Classical High School,Providence,400150,400150,040015,0022106
574e3357-7a80-4dc1-9066-c384757436d1,Clear Lake High School,Clear Lake,500410,500410,050041,0027009
de485c3b-af7f-43ff-b315-bce9be95824e,Clintonville High School,Clintonville,500420,500420,050042,0027287
48bf224a-4ffe-4c1d-b203-0fe0a5182a24,Coe Brown Northwood Academy,Northwood,300470,300470,030047,0015952
a4dee449-8218-43ae-bca3-bb515ba391b9,Cokeville High School,Cokeville,510090,510090,051009,0027652
f450e6c1-69dd-4ccd-8091-e6fa4cdade04,Col Beato Carlos M Rodriguez,Bayamon,540850,540850,054085,0022013
f2c23125-69f1-4d72-aaa8-2afd6bd3450b,Col Nuestra Senora Del Pilar,Rio Piedras,544320,544320,054432,0021990
9bc4a197-7369-4d00-a4e9-3d84db6c0bf1,Colebrook Academy,Colebrook,300100,300100,030010,0015987
01ff2b23-5bdd-4f52-9b35-b4d4ce9d6de6,Colegio Bautista De Carolina,Carolina,541240,541240,054124,0022048
f62718ad-c03c-4403-8703-fdca6d93b6b9,Colegio Catolico Inc,Coamo,541680,541680,054168,0021925
