name,school_id,offers_pyp,offers_myp,offers_dp,offers_cp,programmes,offers_any_ib,languages,ibo_url
Canyon del Oro High School,6955,f,f,t,f,DP,t,English,https://ibo.org/school/006955/
Canyon High School,500,f,f,t,f,DP,t,English,https://ibo.org/school/000500/
Canyon Springs High School,51388,f,f,t,f,DP,t,English,https://ibo.org/school/051388/
Cape Coral High School,3086,f,f,t,f,DP,t,English,https://ibo.org/school/003086/
Capistrano Valley High School,2304,f,f,t,f,DP,t,English,https://ibo.org/school/002304/
Capital High School,986,f,f,t,f,DP,t,English,https://ibo.org/school/000986/
Capuchino High School,1477,f,f,t,f,DP,t,English,https://ibo.org/school/001477/
Carl Cozier Elementary School,50888,t,f,f,f,PYP,t,English,https://ibo.org/school/050888/
Carl Hankey K-8 School,6647,t,t,f,f,"PYP, MYP",t,English,https://ibo.org/school/006647/
Carl Schurz High School,50266,f,t,t,f,"MYP, DP",t,English,https://ibo.org/school/050266/
Carmel High School,2814,f,f,t,f,DP,t,English,https://ibo.org/school/002814/
Carolina Preparatory Academy,52224,f,f,t,f,DP,t,"English, Spanish",https://ibo.org/school/052224/
Carpenter Elementary,61390,t,f,f,f,PYP,t,"English, Spanish",https://ibo.org/school/061390/
Carrollton High School,6989,f,f,t,f,DP,t,English,https://ibo.org/school/006989/
Carrollton School of the Sacred Heart,2307,f,f,t,f,DP,t,English,https://ibo.org/school/002307/
Carrollwood Day School,2247,t,t,t,f,"PYP, MYP, DP",t,English,https://ibo.org/school/002247/
Carson Junior High School,62685,f,t,f,f,MYP,t,English,https://ibo.org/school/062685/
Carver Middle School,2016,f,t,f,f,MYP,t,English,https://ibo.org/school/002016/
Carver Middle School,3149,f,f,f,f,,f,,https://ibo.org/school/003149/
Carver Middle School,2041,f,t,f,f,MYP,t,English,https://ibo.org/school/002041/
Cascade Elementary School,52482,t,f,f,f,PYP,t,"English, Spanish",https://ibo.org/school/052482/
Case Elementary School,51004,t,f,f,f,PYP,t,English,https://ibo.org/school/051004/
Casimir Pulaski High School,52515,f,t,t,t,"MYP, DP, CP",t,"English, Spanish",https://ibo.org/school/052515/
Casita Center,50947,t,f,f,f,PYP,t,English,https://ibo.org/school/050947/
Cass Technical High School,49557,f,f,t,f,DP,t,English,https://ibo.org/school/049557/
Castle Park High School,531,f,f,t,f,DP,t,English,https://ibo.org/school/000531/
Castle Rock Elementary School,3016,t,f,f,f,PYP,t,English,https://ibo.org/school/003016/
Castor Gardens Middle School,6256,f,t,f,f,MYP,t,English,https://ibo.org/school/006256/
Cathedral City High School,50306,f,f,t,f,DP,t,English,https://ibo.org/school/050306/
Catholic Memorial High School,2290,f,f,t,t,"DP, CP",t,English,https://ibo.org/school/002290/
Cedar Park Middle School,3102,f,t,f,f,MYP,t,English,https://ibo.org/school/003102/
Cedar Ridge High School,2128,f,f,t,f,DP,t,English,https://ibo.org/school/002128/
Celebration High School,6226,f,f,t,t,"DP, CP",t,English,https://ibo.org/school/006226/
Centaurus High School,2779,f,f,t,f,DP,t,English,https://ibo.org/school/002779/
Centennial High School,872,f,t,t,t,"MYP, DP, CP",t,English,https://ibo.org/school/000872/
Centennial High School,6475,f,f,t,f,DP,t,English,https://ibo.org/school/006475/
Center for Global Studies,63038,f,t,t,f,"MYP, DP",t,English,https://ibo.org/school/063038/
Center for Inquiry at School 84,6422,t,f,f,f,PYP,t,English,https://ibo.org/school/006422/
Center for Inquiry School 2,2416,t,f,f,f,PYP,t,English,https://ibo.org/school/002416/
Center for Inquiry School 70,60089,t,f,f,f,PYP,t,"English, Spanish",https://ibo.org/school/060089/
Center Moriches High School,60346,f,f,t,f,DP,t,English,https://ibo.org/school/060346/
Center Moriches Middle School,51843,f,t,f,f,MYP,t,"English, French",https://ibo.org/school/051843/
Central Academy,49573,t,f,f,f,PYP,t,English,https://ibo.org/school/049573/
Central Academy of Technology and Arts,62711,f,f,t,f,DP,t,English,https://ibo.org/school/062711/
Central Elementary School,6108,t,f,f,f,PYP,t,English,https://ibo.org/school/006108/
Central High School,2291,f,f,t,f,DP,t,English,https://ibo.org/school/002291/
"Central High School, Capitol Heights",542,f,f,t,f,DP,t,English,https://ibo.org/school/000542/
"Central High School, Macon",727,f,f,t,t,"DP, CP",t,English,https://ibo.org/school/000727/
"Central High School, Springfield",1016,f,t,t,t,"MYP, DP, CP",t,English,https://ibo.org/school/001016/
"Central High School, St. Paul",501,f,t,t,f,"MYP, DP",t,English,https://ibo.org/school/000501/
Central Middle School,15016,f,t,f,f,MYP,t,English,https://ibo.org/school/015016/
Central Park Elementary School,60672,t,f,f,f,PYP,t,"English, Spanish",https://ibo.org/school/060672/
Cesar E. Chavez High School,51434,f,f,t,t,"DP, CP",t,English,https://ibo.org/school/051434/
Chambersburg Area Senior High School,50424,f,f,t,f,DP,t,English,https://ibo.org/school/050424/
Champlin Park High School,2815,f,f,t,t,"DP, CP",t,English,https://ibo.org/school/002815/
Chandler High School,229,f,t,t,t,"MYP, DP, CP",t,English,https://ibo.org/school/000229/
Chandler Oaks Elementary,49209,t,f,f,f,PYP,t,English,https://ibo.org/school/049209/
Channing Hall,3899,t,t,f,f,"PYP, MYP",t,English,https://ibo.org/school/003899/
Chappell Elementary School,8007,t,f,f,f,PYP,t,English,https://ibo.org/school/008007/
Charles A. Brown Elementary School,51421,t,f,f,f,PYP,t,English,https://ibo.org/school/051421/
Charles Hay World School,3422,t,f,f,f,PYP,t,English,https://ibo.org/school/003422/
Charter Oak High School,509,f,f,t,f,DP,t,English,https://ibo.org/school/000509/
Charter Oak International Academy,6291,t,f,f,f,PYP,t,English,https://ibo.org/school/006291/
Charyl Stockwell Preparatory Academy,51579,f,f,t,f,DP,t,English,https://ibo.org/school/051579/
Cherokee Trail High School,2292,f,f,t,f,DP,t,English,https://ibo.org/school/002292/
Cheshire Academy,6727,f,f,t,f,DP,t,English,https://ibo.org/school/006727/
Chesterton High School,3337,f,f,t,f,DP,t,English,https://ibo.org/school/003337/
Cheyenne East High School,1316,f,f,t,f,DP,t,English,https://ibo.org/school/001316/
Chief Sealth International High School,2912,f,f,t,t,"DP, CP",t,English,https://ibo.org/school/002912/
Childs Elementary School,51166,t,f,f,f,PYP,t,English,https://ibo.org/school/051166/
Chimborazo Elementary School,49411,t,f,f,f,PYP,t,English,https://ibo.org/school/049411/
Choctawhatchee High School,774,f,f,t,f,DP,t,English,https://ibo.org/school/000774/
Cholla High School,3325,f,f,t,t,"DP, CP",t,"English, Spanish",https://ibo.org/school/003325/
Christ Church Episcopal School,1081,t,f,t,f,"PYP, DP",t,English,https://ibo.org/school/001081/
Christian Ebinger Elementary School,51491,t,t,f,f,"PYP, MYP",t,"English, Spanish",https://ibo.org/school/051491/
