ceeb,school_name,state,latitude,longitude,us_region,is_school_match,is_public_hs,is_private_hs,sector,has_nu_analytics,has_nu_data,crime_risk_need,crime_risk_adv,educational_attainment_need,educational_attainment_adv,family_stability_need,family_stability_adv,housing_stability_need,housing_stability_adv,median_family_income_need,median_family_income_adv,socio_need_index,ap_offered,ap_tests_taken,ap_participation,ap_intensity_src,dual_enrollment_offered,dual_enrollment_rate,testtaker_rate,sat_participation_nu,sat_score_nu,grad_rate_2021,frl_rate,enrollment_9_12,grade_9,grade_10,grade_11,grade_12,child_poverty_saipe,per_pupil_state_local,leaid,district_total_revenue,per_resident_child_funding_total,per_resident_child_funding_state_local,funding_source,percent_going_to_college_mid,percent_going_to_4yr_college_mid,percent_federal_lunch_aid_mid,percent_first_gen_college_mid,number_of_ap_classes_offered_mid,size_of_senior_class_mid,ap_capstone,setting,ib_flag_candidate,meets_min_size,rigor_score,rigor_tier_num,rigor_tier_label,rigor_n_components_used,rigor_components_available,rigor_weighting_scheme,funding_tier,sat_percentile_by_us_region,sat_percentile_by_funding_tier,sat_percentile_by_rigor_tier_label
070877,Madina Academy Upper School,,41.8511772155762,-72.6440734863281,US - Northeast,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,0,,,,,,,,,,,,,,,,,,none,,,,,,,0,,0,True,,,,0,none,designed,,,,
070880,Taft School,,41.6057,-73.1221,US - Northeast,False,False,True,private,True,True,31.0,69.0,10.0,90.0,28.0,72.0,43.0,57.0,7.0,93.0,23.8,1,3.55,,nu_tests_taken,0,,,94.0,1340.0,,,,,,,,,,,,,,none,95.0,,,,25.0,300.5,0,Suburban community,0,True,0.9770007267455126,4.0,Most Demanding,2,ap+test_participation,designed,,96.96251615682895,,97.73112807463953
070881,Bais Yaakov Of Waterbury,,41.5628814697266,-73.0394744873047,US - Northeast,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,0,,,,,,,,,,,,,,,,,,none,,,,,,,0,,0,True,,,,0,none,designed,,,,
070882,Watertown High School,CT,41.6057,-73.1221,US - Northeast,True,True,False,public,True,True,30.0,70.0,28.0,72.0,10.0,90.0,51.0,49.0,28.0,72.0,29.4,1,3.06,0.1673881673881674,nu_tests_taken,1,0.0909090909090909,0.2597402597402597,98.0,1170.0,92.0,40.4040404040404,693.0,161.0,170.0,173.0,189.0,18.2,,9048900.0,,,,none,82.5,,,,,300.5,0,Small city/town,0,True,0.1487479739712564,3.0,Very Demanding,3,ap+crdc_coursework+test_participation,designed,,60.275743214131836,,67.73119122257053
070883,Westbrook High School,CT,41.2927,-72.4563,US - Northeast,True,True,False,public,False,True,,,,,,,,,,,,1,,0.7228915662650602,crdc_participation,1,0.216867469879518,0.4216867469879518,,,95.0,46.98795180722892,166.0,38.0,39.0,44.0,45.0,7.0,,9049800.0,,,,none,82.5,,,,,50.0,0,Small city/town,0,True,1.7147667762519851,4.0,Most Demanding,2,crdc_coursework+test_participation,designed,,,,
070885,American School For The Deaf,,41.7556,-72.7532,US - Northeast,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,0,,,,,,,,,,,,,,,,,,none,,,,,,50.0,0,Medium city,0,True,,,,0,none,designed,,,,
070886,Ben Bronz Academy,,41.7992477416992,-72.7542495727539,US - Northeast,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,0,,,,,,,,,,,,,,,,,,none,,,,,,50.0,0,Medium city,0,True,,,,0,none,designed,,,,
070887,Conard High School,CT,41.7354507446289,-72.7479934692383,US - Northeast,True,True,False,public,True,True,16.0,84.0,11.0,89.0,9.0,91.0,48.0,52.0,8.0,92.0,18.4,1,4.84,0.3384057971014493,nu_tests_taken,1,0.6130434782608696,0.0,100.0,1190.0,98.0,33.47826086956522,1380.0,342.0,338.0,351.0,349.0,13.9,,9049200.0,,,,none,63.0,74.5,,,25.0,300.5,1,Suburban community,0,True,1.0931509326519595,4.0,Most Demanding,3,ap+crdc_coursework+test_participation,designed,,70.31451960361913,,59.13910093299406
070888,Hartford Christian Academy,,41.7556,-72.7532,US - Northeast,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,0,,,,,,,,,,,,,,,,,,none,82.5,,,,,50.0,0,Suburban community,0,True,,,,0,none,designed,,,,
070889,New England Jewish Academy,,41.8033561706543,-72.7257614135742,US - Northeast,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,0,,,,,,,,,,,,,,,,,,none,,,,,,50.0,0,Small city/town,0,True,,,,0,none,designed,,,,
070890,Kingswood-Oxford School,,41.7628,-72.7268,US - Northeast,False,False,True,private,True,True,7.0,93.0,6.0,94.0,9.0,91.0,27.0,73.0,6.0,94.0,11.0,1,4.36,,nu_tests_taken,0,,,59.0,1270.0,,,,,,,,,,,,,,none,95.0,,,,13.0,50.0,0,Suburban community,0,True,0.2189689803096222,3.0,Very Demanding,2,ap+test_participation,designed,,90.39207238259371,,96.0423197492163
070896,NORTHWEST CATHOLIC HIGH SCHOOL,CT,41.79,-72.7457,US - Northeast,True,False,True,private,True,True,29.0,71.0,13.0,87.0,12.0,88.0,42.0,58.0,10.0,90.0,21.2,1,3.8,,nu_tests_taken,0,,,86.0,1240.0,,,401.0,93.0,103.0,100.0,105.0,13.9,,,,,,none,95.0,95.0,,,17.5,300.5,0,Suburban community,0,True,0.6397335472321833,4.0,Most Demanding,2,ap+test_participation,designed,,84.79103834554071,,82.0186598812553
070900,Hall High School,CT,41.7938117980957,-72.7533569335938,US - Northeast,True,True,False,public,True,True,11.0,89.0,5.0,95.0,7.0,93.0,47.0,53.0,4.0,96.0,14.8,1,4.99,0.3528528528528528,nu_tests_taken,1,0.6599099099099099,0.0,98.0,1210.0,98.0,23.64864864864865,1332.0,331.0,337.0,331.0,333.0,13.9,,9049200.0,,,,none,82.5,84.5,15.0,,25.0,300.5,1,Suburban community,0,True,1.1689802369443056,4.0,Most Demanding,3,ap+crdc_coursework+test_participation,designed,,77.18655751831108,,70.14418999151823
070905,NOTRE DAME HIGH SCHOOL,CT,41.2731704711914,-72.9595718383789,US - Northeast,True,False,True,private,True,True,24.0,76.0,24.0,76.0,17.0,83.0,53.0,47.0,17.0,83.0,27.0,1,3.09,,nu_tests_taken,0,,,74.0,1150.0,,,471.0,101.0,125.0,120.0,125.0,13.2,,,,,,none,95.0,,,,,300.5,0,Large city,1,True,0.2698483990342171,3.0,Very Demanding,2,ap+test_participation,designed,,46.854803963808706,,52.19435736677116
070907,Andover College Preparatory,,41.1385307312012,-73.3353958129883,US - Northeast,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,0,,,,,,,,,,,,,,,,,,none,,,,,,,0,,0,True,,,,0,none,designed,,,,
070910,West Haven High School,CT,41.2701,-72.9638,US - Northeast,True,True,False,public,True,True,54.0,46.0,65.0,35.0,29.0,71.0,89.0,11.0,49.0,51.0,57.2,1,2.85,0.0937672366243794,nu_tests_taken,1,0.2504136789851076,0.2355212355212355,87.0,1100.0,88.0,52.23386651958081,1813.0,449.0,441.0,469.0,454.0,13.2,,9049500.0,,,,none,38.0,,,,,300.5,0,Medium city,0,True,0.093951870647816,3.0,Very Demanding,3,ap+crdc_coursework+test_participation,designed,,14.110297285652736,,15.967868338557995
070912,Oxford Academy,,41.2927,-72.4563,US - Northeast,False,False,True,private,True,True,33.0,67.0,10.0,90.0,7.0,93.0,35.0,65.0,4.0,96.0,17.8,1,1.25,,nu_tests_taken,0,,,,1190.0,,,,,,,,,,,,,,none,95.0,,,,,50.0,0,Suburban community,0,True,-1.3815967212674505,0.0,Below Average,1,ap,designed,,70.31451960361913,,86.2766740250184
070913,Weston High School,CT,41.2195,-73.3715,US - Northeast,True,True,False,public,True,True,5.0,95.0,1.0,99.0,2.0,98.0,18.0,82.0,1.0,99.0,5.4,1,5.06,0.3140376266280753,nu_tests_taken,0,,0.276410998552822,96.0,1270.0,97.5,1.7366136034732271,691.0,170.0,166.0,170.0,185.0,9.0,,9050100.0,,,,none,95.0,95.0,,,17.5,300.5,0,Suburban community,0,True,0.8572931809465292,4.0,Most Demanding,3,ap+crdc_coursework+test_participation,designed,,90.39207238259371,,89.97031382527567
