destinationtable,rcdts,level,school_name,district,city,county,district_type,school_type,grades_served,summative_designation,summative_designation_student_group_s,title_i_status,state_senate_district,state_house_district,ebf_tier,pct_ebf_capacity_to_meet_expectations,count_school_enrollment,site_level_per_pupil_expenditures_federal,site_level_per_pupil_expenditures_state_local,site_level_per_pupil_expenditures_subtotal,district_centralized_per_pupil_expenditure_federal,district_centralized_per_pupil_expenditure_state_local,district_centralized_per_pupil_expenditure_subtotal,total_per_pupil_expenditures_federal,total_per_pupil_expenditures_state_local,total_per_pupil_expenditures_subtotal,exclusions,total_expenditures_sber,local_property_taxes,pct_local_property_taxes,other_local_funding,pct_other_local_funding,evidence_based_funding,pct_evidence_based_funding,other_state_funding,pct_other_state_funding,federal_funding,pct_federal_funding,total_revenue_source,eav_per_pupil,total_school_tax_rate_per_100,instructional_expenditure_per_pupil,operating_expenditures,instruction,pct_instruction,general_admin,pct_general_admin,supporting_services,pct_supporting_services,other_expenditures,pct_other_expenditures,education_fund,pct_education_fund,operations_b_m,pct_operations_b_m,transportation,pct_transportation,debt_service,pct_debt_service,tort,pct_tort,munic_ret_soc_security,pct_munic_ret_soc_security,fire_prev_safety,pct_fire_prev_safety,capital_projects_fund,pct_capital_projects_fund,total_expenditures_afr,per_pupil_pension_obligation_amount,total_pension_obligation_amount
Finance1,24-032-0010-26-0000,District,,Coal City CUSD 1,Coal City,Grundy,Unit District,,,,,,53,106,4,110.1,2059,384.11,12337.81,12721.92,129.93,4361.43,4491.35,514.04,16699.23,17213.27,13194562.42,48636690.26,33681001,80.3,3523805,8.4,1353259,3.2,1973875,4.7,1401116,3.3,41933056,496124.52,3.4,10194.96,17967.71,18516194,46.5,993462,2.5,13304659,33.4,6998906,17.6,26165046,65.7,3539278,8.9,2897486,7.3,3630216,9.1,96210,0.2,848555,2.1,46014,0.1,2590416,6.5,39813221,793.99,1684045.23
Finance1,24-032-0010-26-2005,School,Coal City Early Childhood Center,Coal City CUSD 1,Coal City,Grundy,Unit District,Elementary School,PK - 1,Commendable,All Students,Title 1 Schoolwide,53,106,,,376,533.31,12951.83,13485.14,129.93,4361.43,4491.35,663.24,17313.26,17976.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,24-032-0010-26-2003,School,Coal City Elem School,Coal City CUSD 1,Coal City,Grundy,Unit District,Elementary School,2 - 3,Commendable,All Students,Title 1 Schoolwide,53,106,,,305.5,662.1,11775.75,12437.85,129.93,4361.43,4491.35,792.03,16137.17,16929.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,24-032-0010-26-0001,School,Coal City High School,Coal City CUSD 1,Coal City,Grundy,Unit District,High School,9 - 12,Exemplary,All Students,Title 1 Schoolwide,53,106,,,633,237.43,12398.45,12635.88,129.93,4361.43,4491.35,367.36,16759.88,17127.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,24-032-0010-26-2004,School,Coal City Intermediate School,Coal City CUSD 1,Coal City,Grundy,Unit District,Elementary School,4 - 5,Exemplary,All Students,Title 1 Schoolwide,53,106,,,291,617.58,11025.94,11643.52,129.93,4361.43,4491.35,747.51,15387.37,16134.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,24-032-0010-26-1002,School,Coal City Middle School,Coal City CUSD 1,Coal City,Grundy,Unit District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Schoolwide,53,106,,,453.5,128.08,12964.49,13092.56,129.93,4361.43,4491.35,258.01,17325.91,17583.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,30-091-0170-22-0000,District,,Cobden SUD 17,Cobden,Union,Unit District,,,,,,59,118,1,77.8,460.5,103.03,9359.98,9463.01,1263.58,4620.82,5884.4,1366.6,13980.81,15347.41,1093957.55,8161439.97,1645833,22.5,571344,7.8,3768752,51.5,714755,9.8,618316,8.4,7319000,105042.44,3.4,9759.65,15528.95,4032198,34.3,364796,3.1,2052495,17.5,5289232,45.1,6329596,53.9,382532,3.3,370598,3.2,475047,4,122830,1,193145,1.6,0,0,3864973,32.9,11738721,722.68,323762.36
Finance1,30-091-0170-22-2002,School,Cobden Elem School,Cobden SUD 17,Cobden,Union,Unit District,Elementary School,PK - 5,Exemplary,All Students,Title 1 Schoolwide,59,118,,,228.5,125.65,9293.81,9419.45,1263.58,4620.82,5884.4,1389.23,13914.63,15303.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,30-091-0170-22-0001,School,Cobden High School,Cobden SUD 17,Cobden,Union,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,59,118,,,136.5,42.78,11609.52,11652.3,1263.58,4620.82,5884.4,1306.36,16230.34,17536.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,30-091-0170-22-1001,School,Cobden Jr High School,Cobden SUD 17,Cobden,Union,Unit District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Schoolwide,59,118,,,95.5,135.01,6303.03,6438.04,1263.58,4620.82,5884.4,1398.59,10923.85,12322.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
