source_id,source_name,state,source_city,CEEB,nu_name,nu_city,name_score_set,name_score_sort,city_match,tier,needs_review
19-022-0450-02-2015,York Center Elem School,IL,LOMBARD,140125,Ashton Franklin Center HS,ASHTON,72.22222222222223,52.63157894736843,False,reject,False
31-045-0460-22-1003,Abbott Middle School,IL,ELGIN,140108,Middle Fork School,DANVILLE,83.87096774193549,78.94736842105263,False,review,True
31-045-0460-22-2009,Bartlett Elem School,IL,BARTLETT,140213,Bartlett High School,BARTLETT,85.71428571428571,80.0,True,review,True
31-045-0460-22-0004,Bartlett High School,IL,BARTLETT,140213,Bartlett High School,BARTLETT,100.0,100.0,True,auto_accept,False
31-045-0460-22-1045,Canton Middle School,IL,STREAMWOOD,140495,Canton High School,CANTON,83.87096774193549,78.94736842105263,False,review,True
31-045-0460-22-2047,Centennial School,IL,BARTLETT,140593,Centennial High School,CHAMPAIGN,100.0,87.17948717948718,False,auto_accept,False
31-045-0460-22-2010,Century Oaks Elem School,IL,ELGIN,144175,Century High School,ULLIN,84.84848484848484,69.76744186046511,False,review,True
31-045-0460-22-2011,Channing Memorial Elem School,IL,ELGIN,140305,Civic Memorial High School,BETHALTO,73.17073170731707,72.72727272727273,False,reject,False
31-045-0460-22-2012,Clinton Elem School,IL,SOUTH ELGIN,141440,Clinton Community High School,CLINTON,84.84848484848484,66.66666666666667,False,review,True
31-045-0460-22-2013,Coleman Elem School,IL,ELGIN,141844,Cove School,NORTHBROOK,70.58823529411765,66.66666666666667,False,reject,False
31-045-0460-22-2052,Creekside Elem,IL,ELGIN,140147,Lerna Bridges,LERNA,51.851851851851855,51.85185185185186,False,reject,False
31-045-0460-22-1004,Eastview Middle School,IL,BARTLETT,140108,Middle Fork School,DANVILLE,83.87096774193549,70.0,False,review,True
31-045-0460-22-0001,Elgin High School,IL,ELGIN,141770,Elgin High School,ELGIN,100.0,100.0,True,auto_accept,False
31-045-0460-22-1005,Ellis Middle School,IL,ELGIN,140108,Middle Fork School,DANVILLE,83.87096774193549,75.67567567567568,False,review,True
31-045-0460-22-2050,Fox Meadow Elementary School,IL,SOUTH ELGIN,141844,Cove School,NORTHBROOK,70.58823529411765,46.15384615384615,False,reject,False
31-045-0460-22-2017,Glenbrook Elem School,IL,STREAMWOOD,143214,Glenbrook Evening High School,GLENVIEW,86.48648648648648,76.0,False,review,True
31-045-0460-22-2019,Hanover Countryside Elem School,IL,STREAMWOOD,141844,Cove School,NORTHBROOK,70.58823529411765,52.38095238095239,False,reject,False
31-045-0460-22-2016,Harriet Gifford Elem School,IL,ELGIN,141844,Cove School,NORTHBROOK,70.58823529411765,47.36842105263158,False,reject,False
31-045-0460-22-2042,Heritage Elem School,IL,STREAMWOOD,143226,Heritage Christian School,FRANKFORT,85.71428571428571,71.11111111111111,False,review,True
31-045-0460-22-2020,Highland Elem School,IL,ELGIN,142275,Highland Park High School,HIGHLAND PARK,85.71428571428571,71.11111111111111,False,review,True
31-045-0460-22-2021,Hillcrest Elem School,IL,ELGIN,141493,Hillcrest High School,CNTRY CLB HLS,86.48648648648648,80.95238095238095,False,review,True
