ceeb,org_name,sc_instnm,state,region,urbanicity,latitude,longitude,sc_control,sc_preddeg,iclevel,carnegie_basic,sc_ugds,sc_tuition_in,net_price,sc_pct_pell,sc_adm_rate,sc_sat_avg,sc_completion_150_4yr,cluster,cluster_fine,pca_1,pca_2
002910,Thiel College,Thiel College,PA,Northeast,2.0,41.41354,-80.384383,2.0,3.0,1.0,22.0,773.0,36864.0,22746.0,0.3905,0.706,,0.4355,1.0,5.0,1.4300187943014973,-1.2317133929419632
004828,Thomas Aquinas College,Thomas Aquinas College,CA,West,1.0,34.429009,-119.087141,2.0,3.0,1.0,21.0,539.0,28700.0,25032.0,0.1977,0.7871,1277.0,0.8202,1.0,5.0,1.297621497503856,-1.1158908790285096
003903,Thomas College,Thomas College,ME,Northeast,2.0,44.524909,-69.664734,2.0,3.0,1.0,20.0,688.0,30896.0,19223.0,0.1534,0.9707,,0.5136,1.0,5.0,1.2628000826216803,-0.5410042660708622
000682,Thomas Edison State College,Thomas Edison State University,NJ,Northeast,4.0,40.220487,-74.768562,1.0,3.0,1.0,19.0,6685.0,6638.0,,0.2068,,,,,,,
007923,Thomas Jefferson U P4 Program,Thomas Jefferson University,PA,Northeast,4.0,39.948274,-75.158266,2.0,3.0,1.0,16.0,3708.0,45683.0,28163.0,0.3386,0.8614,1259.0,0.6819,1.0,4.0,2.017594098955447,0.6701985670905233
002666,Thomas Jefferson University,Thomas Jefferson University,PA,Northeast,4.0,39.948274,-75.158266,2.0,3.0,1.0,16.0,3708.0,45683.0,28163.0,0.3386,0.8614,1259.0,0.6819,1.0,4.0,2.017594098955447,0.6701985670905233
001876,Thomas More College,Thomas More University,KY,South,3.0,39.022963,-84.568923,2.0,3.0,1.0,20.0,1305.0,38400.0,20701.0,0.2247,0.9703,1140.0,0.4011,1.0,2.0,1.4230885079906885,-0.03618564494812848
005072,Thomas University,Thomas University,GA,South,2.0,30.815576,-83.963587,2.0,3.0,1.0,19.0,813.0,11640.0,19313.0,0.4678,0.4316,1037.0,0.2778,1.0,5.0,0.31452054668583035,-1.7222852085782274
003558,Three Rivers Community College,Connecticut State Community College,CT,Northeast,4.0,41.509945,-72.103039,1.0,2.0,2.0,4.0,32292.0,5092.0,8865.0,0.4371,,,,0.0,0.0,-1.7440749389065233,1.2911970900216456
006836,Three Rivers Community College,Three Rivers College,MO,Midwest,2.0,36.776571,-90.429769,1.0,2.0,2.0,1.0,1909.0,4860.0,9980.0,0.4691,,,,0.0,3.0,-1.5668326572963471,-1.063405388458139
005707,Tidewater Cmty Coll Chesapeake,Tidewater Community College,VA,South,4.0,36.85009,-76.291376,1.0,2.0,2.0,5.0,11797.0,5714.0,7991.0,0.2905,,,,0.0,0.0,-1.6115998361665322,1.266810495840631
005032,Tidewater Cmty Coll Norfolk,Tidewater Community College,VA,South,4.0,36.85009,-76.291376,1.0,2.0,2.0,5.0,11797.0,5714.0,7991.0,0.2905,,,,0.0,0.0,-1.6115998361665322,1.266810495840631
005787,Tidewater Cmty Coll Va Beach,Tidewater Community College,VA,South,4.0,36.85009,-76.291376,1.0,2.0,2.0,5.0,11797.0,5714.0,7991.0,0.2905,,,,0.0,0.0,-1.6115998361665322,1.266810495840631
005226,Tidewater Community College,Tidewater Community College,VA,South,4.0,36.85009,-76.291376,1.0,2.0,2.0,5.0,11797.0,5714.0,7991.0,0.2905,,,,0.0,0.0,-1.6115998361665322,1.266810495840631
001817,Tiffin University,Tiffin University,OH,Midwest,2.0,41.118316,-83.184197,2.0,3.0,1.0,18.0,1938.0,32400.0,23758.0,0.3553,0.7977,989.0,0.4295,1.0,5.0,1.1816355599549888,-0.7143662828031038
005799,Toccoa Falls College,Toccoa Falls College,GA,South,2.0,34.593414,-83.357617,2.0,3.0,1.0,22.0,820.0,23250.0,20133.0,0.1972,0.6337,1155.0,0.4601,1.0,5.0,0.91272324307183,-0.6803321087654856
002904,Tompkins-Cortland Cmty Coll,Tompkins Cortland Community College,NY,Northeast,1.0,42.502006,-76.287586,1.0,2.0,2.0,3.0,1456.0,6946.0,12851.0,0.1718,,,,0.0,3.0,-1.1470486973822704,-0.4600580468938986
007132,Torah Tem Talm Sem,Mesivta Torah Vodaath Rabbinical Seminary,NY,Northeast,4.0,40.6382,-73.969395,2.0,3.0,1.0,24.0,337.0,13950.0,5360.0,0.5407,0.8974,,0.3333,1.0,1.0,0.06578846677754846,-1.7392534378952025
001807,Tougaloo College,Tougaloo College,MS,South,4.0,32.403014,-90.16076,2.0,3.0,1.0,21.0,592.0,11398.0,15663.0,0.618,0.5319,,0.3231,1.0,1.0,0.28412420111593073,-1.6438223679957713
002902,Touro College,LIM College,NY,Northeast,4.0,40.754991,-73.979413,3.0,3.0,1.0,29.0,1142.0,31950.0,37514.0,0.3571,0.9875,1090.0,0.5299,1.0,2.0,2.2736109000584905,0.0656342098650065
005404,Towson  University,Towson University,MD,South,4.0,39.393622,-76.611164,1.0,3.0,1.0,18.0,16400.0,11306.0,16791.0,0.3346,0.828,1166.0,0.6762,0.0,0.0,-1.0591004509493156,1.4309087386079529
001808,Transylvania University,Transylvania University,KY,South,4.0,38.052983,-84.493202,2.0,3.0,1.0,21.0,1014.0,44980.0,23560.0,0.2405,0.8499,1285.0,0.6975,1.0,2.0,1.9189873270689892,0.2727157403791808
000207,Trenholm St Comm Coll Trenholm,H Councill Trenholm State Community College,AL,South,4.0,32.350109,-86.343057,1.0,2.0,2.0,7.0,1584.0,4890.0,5568.0,0.5519,,,,0.0,0.0,-1.6540488088474656,-0.682453912972498
000187,Trenholm State Cc Patterson,H Councill Trenholm State Community College,AL,South,4.0,32.350109,-86.343057,1.0,2.0,2.0,7.0,1584.0,4890.0,5568.0,0.5519,,,,0.0,0.0,-1.6540488088474656,-0.682453912972498
001809,Trevecca Nazarene College,Trevecca Nazarene University,TN,South,4.0,36.141324,-86.754238,2.0,3.0,1.0,17.0,1697.0,29790.0,14459.0,0.3049,0.7002,1090.0,0.5481,1.0,2.0,0.8481089425722038,0.07789841010648284
005785,Tri-County Community College,Tri-County Community College,NC,South,1.0,35.067021,-83.966476,1.0,2.0,2.0,3.0,435.0,2363.0,4584.0,0.2984,,,,0.0,3.0,-1.7438254463112586,-1.679562758363216
007133,Triangle Tech DuBois,Triangle Tech Inc-Dubois,PA,Northeast,1.0,41.147974,-78.795923,3.0,2.0,2.0,7.0,79.0,18575.0,20698.0,0.5616,,,,1.0,5.0,0.8748491820824972,-3.5061338461321276
000658,Triangle Tech: Greensburg School,Triangle Tech Inc-Greensburg,PA,Northeast,3.0,40.303168,-79.539468,3.0,2.0,2.0,7.0,100.0,18513.0,23919.0,0.4059,,,,1.0,2.0,1.365717974099129,-1.9837734869013868
000734,Triangle Tech: Pittsburgh Campus,Triangle Tech Inc-Pittsburgh,PA,Northeast,4.0,40.462003,-80.012781,3.0,2.0,2.0,7.0,90.0,18538.0,20789.0,0.6,,,,1.0,1.0,1.1855788740633324,-2.35377290242755
005551,Trident Tech College Palmer,Trident Technical College,SC,South,4.0,32.928767,-80.031276,1.0,2.0,2.0,5.0,11091.0,4564.0,-3220.0,0.2725,,,,0.0,0.0,-2.2211809392909,1.1379991101648377
005049,Trident Technical Coll Main,Trident Technical College,SC,South,4.0,32.928767,-80.031276,1.0,2.0,2.0,5.0,11091.0,4564.0,-3220.0,0.2725,,,,0.0,0.0,-2.2211809392909,1.1379991101648377
001811,Trine University,Trine University,IN,Midwest,2.0,41.632502,-85.008009,2.0,3.0,1.0,22.0,2344.0,35600.0,25580.0,0.1555,0.8469,,0.6761,1.0,5.0,1.4985357834387647,0.1282197058495644
000356,Trinity Bible College,Trinity Bible College and Graduate School,ND,Midwest,1.0,46.001037,-98.517906,2.0,3.0,1.0,24.0,138.0,18762.0,20396.0,0.5,0.3622,1120.0,0.3878,1.0,5.0,0.7729649831908698,-3.064902949208471
