nces_id_12,calculus_offered,advmath_offered,chemistry_offered,physics_offered,stem_advanced_offered
010129001451,,,,,
010129001660,,,,,
010129001768,,,,,
010129001769,,,,,
010129002142,,,,,
010129002147,,,,,
010129002494,0.0,1.0,1.0,1.0,3.0
010129099998,0.0,0.0,0.0,0.0,0.0
010132000474,,,,,
010132000475,,,,,
010132000476,1.0,1.0,1.0,1.0,4.0
010132000478,,,,,
010132000479,,,,,
010132000480,,,,,
010132000481,,,,,
010132001719,,,,,
010132001867,,,,,
010135000484,0.0,0.0,1.0,1.0,2.0
010135000485,,,,,
010135000487,1.0,0.0,1.0,1.0,3.0
010135000488,,,,,
010135000489,,,,,
010135000492,0.0,0.0,1.0,0.0,1.0
010135001504,,,,,
010135001505,,,,,
010135001506,,,,,
010135001661,,,,,
010138000493,,,,,
010138000494,,,,,
010138000496,0.0,1.0,1.0,1.0,3.0
010138000497,,,,,
010138000498,1.0,1.0,1.0,0.0,3.0
010138000499,,,,,
010138000500,,,,,
010138000501,,,,,
010138000502,,,,,
010138000503,,,,,
010138000505,1.0,1.0,1.0,1.0,4.0
010138000506,1.0,1.0,1.0,0.0,3.0
010138000507,0.0,1.0,1.0,0.0,2.0
010138000508,,,,,
010138000509,,,,,
010138001507,,,,,
010138001508,,,,,
010138001509,,,,,
010138001662,0.0,1.0,1.0,0.0,2.0
010138002351,,,,,
010138002453,,,,,
010141000511,1.0,1.0,1.0,0.0,3.0
010141000513,,,,,
010141000514,,,,,
010141001510,,,,,
010144000515,,,,,
010144000516,0.0,1.0,1.0,0.0,2.0
010144000518,,,,,
010144000519,,,,,
010144001361,0.0,0.0,0.0,0.0,0.0
010147000521,0.0,1.0,1.0,0.0,2.0
010147000523,,,,,
010147000525,0.0,1.0,1.0,0.0,2.0
010147001512,,,,,
010147001514,,,,,
010147001787,0.0,1.0,1.0,0.0,2.0
010153000528,1.0,1.0,1.0,1.0,4.0
010153000531,0.0,0.0,0.0,0.0,0.0
010153000532,,,,,
010153000534,,,,,
010153000535,,,,,
010153000536,,,,,
010153001664,,,,,
010153002474,,,,,
010156000538,1.0,1.0,1.0,1.0,4.0
010156001365,,,,,
010156001750,,,,,
010156002518,,,,,
010159000541,0.0,1.0,1.0,0.0,2.0
010159000542,0.0,0.0,0.0,0.0,0.0
010159000544,1.0,1.0,1.0,1.0,4.0
010159000545,0.0,1.0,1.0,1.0,3.0
010159000547,,,,,
010159000548,0.0,1.0,1.0,0.0,2.0
010159001861,,,,,
010159001869,0.0,1.0,1.0,1.0,3.0
010159002475,,,,,
010162000551,,,,,
010162000552,,,,,
010162000553,,,,,
010162000555,,,,,
010162000559,,,,,
010162000563,,,,,
010162000564,,,,,
010162000565,,,,,
010162001517,,,,,
010162001646,0.0,0.0,0.0,0.0,0.0
010162001665,,,,,
010162001666,,,,,
010162001824,1.0,1.0,1.0,1.0,4.0
010164000567,1.0,1.0,1.0,1.0,4.0
010164000568,,,,,
010164001788,,,,,
010166000570,0.0,1.0,1.0,0.0,2.0
010166000571,0.0,1.0,1.0,0.0,2.0
010166001519,1.0,1.0,1.0,0.0,3.0
010166001771,,,,,
010166001772,,,,,
010166001791,,,,,
010166001792,,,,,
010166001793,,,,,
010166001794,,,,,
010168000576,1.0,1.0,1.0,1.0,4.0
010168001452,,,,,
010168001520,,,,,
010169000579,,,,,
010169000580,,,,,
010169000581,,,,,
010169000582,1.0,1.0,1.0,1.0,4.0
010171000588,0.0,0.0,0.0,0.0,0.0
010171000589,,,,,
010171002156,,,,,
010171002158,,,,,
010171002162,0.0,1.0,1.0,1.0,3.0
010171002411,,,,,
010172000594,1.0,0.0,1.0,1.0,3.0
010172001795,,,,,
010172001885,,,,,
010173000328,,,,,
010173000596,,,,,
010173000597,,,,,
010173000598,,,,,
010173000599,1.0,1.0,1.0,1.0,4.0
010173002356,,,,,
010174000600,0.0,1.0,1.0,0.0,2.0
010174000602,,,,,
010174000603,,,,,
010174000604,0.0,1.0,1.0,1.0,3.0
010174000605,0.0,0.0,0.0,0.0,0.0
010174002120,0.0,0.0,1.0,0.0,1.0
010174099999,0.0,0.0,0.0,0.0,0.0
010176000606,,,,,
010176000607,,,,,
010176000608,1.0,1.0,1.0,1.0,4.0
010176000609,,,,,
010176000610,,,,,
010177000611,0.0,1.0,1.0,1.0,3.0
010177000612,0.0,1.0,1.0,1.0,3.0
010177000614,0.0,1.0,1.0,1.0,3.0
010177000615,1.0,1.0,1.0,1.0,4.0
010177000616,,,,,
010177000617,0.0,1.0,1.0,1.0,3.0
010177001668,,,,,
010177002077,,,,,
010177002078,,,,,
010177002506,0.0,1.0,1.0,1.0,3.0
010177002507,,,,,
010177002508,,,,,
010177002511,,,,,
010180000533,,,,,
010180000618,,,,,
010180000620,,,,,
010180000621,,,,,
010180000622,,,,,
010180000623,,,,,
010180000624,,,,,
010180000628,,,,,
010180000629,1.0,1.0,1.0,1.0,4.0
010180000630,,,,,
010180000631,1.0,1.0,1.0,1.0,4.0
010180000632,,,,,
010180000634,,,,,
010180000635,,,,,
010180000636,0.0,1.0,1.0,1.0,3.0
010180000638,,,,,
010180000639,,,,,
010180000640,,,,,
010180000642,,,,,
010180000643,,,,,
010180000644,,,,,
010180000650,,,,,
010180000651,,,,,
010180000653,,,,,
010180001374,1.0,1.0,1.0,1.0,4.0
010180001527,,,,,
010180001529,,,,,
010180001530,,,,,
010180001531,,,,,
010180001651,1.0,1.0,1.0,1.0,4.0
010180001773,,,,,
010180001774,,,,,
010180001796,,,,,
010180002093,,,,,
010180002146,,,,,
010180002172,,,,,
010180002173,,,,,
010180002379,,,,,
010180002419,1.0,1.0,1.0,1.0,4.0
010180002425,,,,,
010180002478,,,,,
010180002484,,,,,
010180002486,,,,,
010183000654,,,,,
010183000655,,,,,
010183000656,,,,,
010183000657,,,,,
010183000658,,,,,
010183000659,,,,,
010183000662,0.0,1.0,1.0,0.0,2.0
010183000666,,,,,
010183000667,0.0,0.0,0.0,1.0,1.0
010183000668,0.0,1.0,1.0,0.0,2.0
010183000671,0.0,1.0,1.0,0.0,2.0
010183001532,0.0,1.0,1.0,1.0,3.0
010183001533,,,,,
010183001534,,,,,
010183001674,,,,,
010183001751,0.0,1.0,1.0,1.0,3.0
010186000672,,,,,
010186000673,1.0,1.0,1.0,0.0,3.0
010189000674,,,,,
010189000675,,,,,
010189000677,,,,,
010189000678,1.0,1.0,1.0,1.0,4.0
010189002434,,,,,
010192000466,0.0,1.0,1.0,0.0,2.0
010192000469,1.0,1.0,1.0,1.0,4.0
010192000472,,,,,
010192000483,,,,,
010192000681,,,,,
010192000684,,,,,
010192000687,,,,,
010192000689,,,,,
010192000691,,,,,
010192000692,,,,,
010192000694,,,,,
010192000695,,,,,
010192000696,,,,,
010192000697,,,,,
010192000698,0.0,1.0,1.0,0.0,2.0
010192000701,,,,,
010192000702,1.0,1.0,1.0,0.0,3.0
010192000703,,,,,
010192000704,0.0,1.0,1.0,0.0,2.0
010192000705,,,,,
010192000706,1.0,1.0,1.0,1.0,4.0
010192000710,,,,,
010192000716,,,,,
010192000717,1.0,1.0,1.0,1.0,4.0
010192000718,,,,,
