source_id,source_name,state,source_city,CEEB,nu_name,nu_city,name_score_set,name_score_sort,city_match,tier,needs_review
2464,Plaza Middle School,,,002719,Plaza School,PARAMUS,100,77.41935483870968,f,review,t
50647,Plymouth Elementary School,,,230288,Webb Elementary School,FERNDALE,87.17948717948718,70.83333333333333,f,review,t
49696,Plymouth High School,,,130450,New Plymouth High School,NEW PLYMOUTH,100,90.9090909090909,f,review,f
61291,Plymouth Whitemarsh High School,,,152885,Plymouth High School,PLYMOUTH,100,78.43137254901961,f,review,t
2531,Ponce de Leon Middle  School,,,101435,Ponce De Leon High School,PONCE DE LEON,88.88888888888889,76.92307692307692,f,review,t
49252,Port Chester High School,,,050535,Chester High School,CHESTER,100,88.37209302325581,f,review,f
1027,Portage Central High School,,,111960,Central High School,MACON,100,82.6086956521739,f,review,t
1028,Portage Northern High School,,,230990,Northern HS,DETROIT,100,83.33333333333334,f,review,t
60250,Portage Path Community Learning Center,,,220496,Community Learning Center,CAMBRIDGE,100,79.36507936507937,f,review,t
50621,Portledge School,,,332883,Portledge School,LOCUST VALLEY,100,100,f,review,f
4998,Post Oak Academy,,,190077,Oak Forest Academy,AMITE,88.23529411764706,64.70588235294117,f,reject,f
810,Poudre High School,,,060587,Poudre High School,FORT COLLINS,100,100,f,review,f
50904,Prepa Tec Los Angeles,,,051632,Prepa Tec Los Angeles High Sch,BELL,100,82.35294117647058,f,review,t
50958,Preston Hollow Elementary,,,070403,Voluntown Elementary School,VOLUNTOWN,69.23076923076923,69.23076923076923,f,reject,f
23012,Primary Years Academy of International Education,,,230347,International Academy,BLOOMFLD HLS,100,60.86956521739131,f,reject,f
919,Princess Anne High School,,,471315,Princess Anne High School,VIRGINIA BEACH,100,100,f,review,f
316,Princeton High School,,,343180,Princeton High School,PRINCETON,100,100,f,review,f
50308,Princeton Junior School,,,311265,Princeton Day School,PRINCETON,88.88888888888889,79.06976744186046,f,review,t
52114,Princeton Montessori School,,,311265,Princeton Day School,PRINCETON,88.88888888888889,72.34042553191489,f,review,t
60964,Prospect School,,,330847,International HS @ Prospect Ht,BROOKLYN,100,57.692307692307686,f,reject,f
1143,Prosser Career Academy,,,190254,Career Academy,BATON ROUGE,100,77.77777777777779,f,review,t
4708,Providence Hall Charter School,,,450124,Providence Hall Charter School,HERRIMAN,100,100,f,review,f
18012,Provincetown Schools,,,221790,Provincetown High School,PROVINCETOWN,86.36363636363636,86.36363636363636,f,review,t
61769,Proviso East High School,,,060400,East High School,DENVER,100,80,f,review,t
50977,Proviso Math and Science Academy,,,242739,Math And Science Academy,WOODBURY,100,85.71428571428572,f,review,f
61225,Proviso West High School,,,142286,Proviso West High School,HILLSIDE,100,100,f,review,f
62337,PS 56 - Lewis H. Latimer,,,061040,Lewis Palmer High School,MONUMENT,62.22222222222222,48.88888888888889,f,reject,f
62334,PS 9 The Sarah Smith Garnet School,,,334047,Smith School,NEW YORK,100,52.17391304347826,f,reject,f
880,Pueblo East High School,,,060400,East High School,DENVER,100,82.05128205128204,f,review,t
6101,Pueblo West High School,,,030500,Pueblo High School,TUCSON,100,87.8048780487805,f,review,f
60401,Puente de Hózhó Trilingual Magnet School,,,053246,El Puente School,SANTA BARBARA,89.65517241379311,54.54545454545454,f,reject,f
32016,Pulaski International School of Chicago,,,140722,Chicago International School,CHICAGO,100,83.5820895522388,f,review,t
60773,Purcell Marian High School,,,230332,Marian High School,BLOOMFIELD HILLS,100,81.81818181818181,f,review,t
62555,Purchase Elementary School,,,230288,Webb Elementary School,FERNDALE,87.17948717948718,70.83333333333333,f,review,t
60375,Putnam Valley High School,,,070630,Putnam High School,PUTNAM,100,83.72093023255813,f,review,t
63033,Putnam Valley Middle School,,,182037,Valley School,OWENSBORO,100,65,f,review,t
4159,Quail Run Elementary School,,,230288,Webb Elementary School,FERNDALE,87.17948717948718,69.38775510204081,f,review,t
3711,Quarry Lane School,,,050903,Quarry Lane School,DUBLIN,100,100,f,review,f
1062,Quartz Hill High School,,,394080,Hill School,POTTSTOWN,100,64.70588235294117,f,reject,f
49613,Queensbury High School,,,332105,Queensbury High School,QUEENSBURY,100,100,f,review,f
3031,QUEST Elementary School,,,230288,Webb Elementary School,FERNDALE,87.17948717948718,75.55555555555556,f,review,t
60285,R.N. Fickett Elementary School,,,230288,Webb Elementary School,FERNDALE,87.17948717948718,66.66666666666667,f,review,t
49197,Rainier Beach High School,,,053396,Beach High School,SOQUEL,100,80.95238095238095,f,review,t
1232,Ralph L Fike High School,,,344368,Fike High School,WILSON,100,80,f,review,t
1029,Rampart High School,,,060294,Rampart High School,COLORADO SPRINGS,100,100,f,review,f
23014,Ramsay Alternative High School,,,335709,Alternative HS,VALHALLA,100,86.79245283018868,f,review,f
6376,Ranch Creek Elementary School,,,030536,Oak Creek Ranch School,SEDONA,90,78.43137254901961,f,review,t
3828,Ranch View Middle School,,,290021,I-School,INCLINE VLG,85.71428571428571,50,f,reject,f
437,Rancho Buena Vista High School,,,060155,Buena Vista High School,BUENA VISTA,100,86.79245283018868,f,review,f
6278,Rancho Solano Preparatory School,,,030658,Rancho Solano Preparatory Schl,SCOTTSDALE,96.7741935483871,96.7741935483871,f,review,f
2255,Randolph Elementary School,,,011475,Randolph School,HUNTSVILLE,100,73.17073170731707,f,review,t
2986,Randolph Middle School,,,011475,Randolph School,HUNTSVILLE,100,81.08108108108108,f,review,t
6745,Range View Elementary School,,,230288,Webb Elementary School,FERNDALE,87.17948717948718,76,f,review,t
6483,Ranson Middle School,,,230963,Scranton Middle School,BRIGHTON,90.47619047619048,61.904761904761905,f,reject,f
3093,Red Bank Regional High School,,,430325,Red Bank High School,CHATTANOOGA,100,81.63265306122449,f,review,t
1327,Red Hook Central High School,,,111960,Central High School,MACON,100,80.85106382978724,f,review,t
947,Reidsville High School,,,343282,Reidsville High School,REIDSVILLE,100,100,f,review,f
3958,Renaissance High School,,,334021,Harlem Renaissance High School,NEW YORK,100,86.79245283018868,f,review,f
52513,Renaissance High School,,,334021,Harlem Renaissance High School,NEW YORK,100,86.79245283018868,f,review,f
49291,Renton High School,,,231240,Carl T. Renton Jr. High School,NEW BOSTON,100,78.26086956521739,f,review,t
52514,Resnik Community Learning Center,,,220496,Community Learning Center,CAMBRIDGE,100,87.71929824561404,f,review,f
62326,Restoration Academy Magnet School for Global Exploration and Innovation,,,331112,Academy School,BUFFALO,100,32.94117647058824,f,reject,f
3331,Rex Putnam High School,,,070630,Putnam High School,PUTNAM,100,90,f,review,f
60961,Rhodes Academy for the Humanities and the Arts,,,447396,Academy The,WEATHERFORD,100,38.59649122807017,f,reject,f
60008,Rice Elementary,,,030551,Accelerated Elementary/Sec Sch,TUCSON,80,57.77777777777777,f,reject,f
61842,Rich Township High School,,,450330,Rich High School,RANDOLPH,100,78.04878048780488,f,review,t
2465,Richard Edwards School,,,101793,Saint Edwards School,VERO BEACH,90.3225806451613,71.7948717948718,f,review,t
2893,Richard J. Bailey Elementary School,,,230288,Webb Elementary School,FERNDALE,87.17948717948718,60.71428571428572,f,reject,f
443,Richard Montgomery High School,,,311359,Montgomery High School,SKILLMAN,100,84.61538461538461,f,review,t
3231,Richards Middle School,,,290021,I-School,INCLINE VLG,85.71428571428571,53.333333333333336,f,reject,f
62199,Richey Elementary School,,,230288,Webb Elementary School,FERNDALE,87.17948717948718,73.91304347826086,f,review,t
29012,Richland Northeast High School,,,393407,Northeast High School,PHILADELPHIA,100,82.35294117647058,f,review,t
1328,Richwoods High School,,,143452,Richwoods High School,PEORIA,100,100,f,review,f
3380,Ridgeview Middle School,,,101514,Ridgeview High School,ORANGE PARK,86.48648648648648,81.81818181818181,f,review,t
3983,Ridgeway High School,,,431461,Ridgeway High School,MEMPHIS,100,100,f,review,f
4641,Ridgeway Middle School,,,400234,Middlebridge School,NARRAGANSETT,87.8048780487805,87.8048780487805,f,review,t
49579,Riffenburgh Elementary School,,,230288,Webb Elementary School,FERNDALE,87.17948717948718,66.66666666666667,f,review,t
6990,Rifle High School,,,061230,Rifle High School,RIFLE,100,100,f,review,f
3250,Rio Mesa High School,,,447346,Mesa High School,FORT WORTH,100,88.88888888888889,f,review,f
2256,River Oaks Elementary School,,,191831,River Oaks School,MONROE,100,75.55555555555556,f,review,t
3085,Riverdale High School,,,501600,Riverdale High School,MUSCODA,100,100,f,review,f
2839,Riverdale High School,,,501600,Riverdale High School,MUSCODA,100,100,f,review,f
63634,Riverdale School District 51J,,,501600,Riverdale High School,MUSCODA,86.48648648648648,72,f,review,t
