ibo_school_id,ib_name,offers_dp,offers_cp,offers_myp,offers_pyp,programmes,ncessch,nces_name,city,state
52523,Alturas International Academy,t,f,t,t,"PYP, MYP, DP",1601082,ALTURAS INTERNATIONAL ACADEMY,IDAHO FALLS,ID 
60944,Alverta B. Gray Schultz Middle School,f,f,t,f,MYP,,,,
1353,Amarillo Independent School District/Amarillo High School,t,f,f,f,DP,,,,
62281,Ambassador School of Global Leadership,f,f,t,f,MYP,,,,
2246,Amelia Earhart Elementary,f,f,f,t,PYP,0600043,Amelia Earhart Elementary,Alameda,CA 
61940,American Lakes School,f,f,f,t,PYP,,,,
62872,American University Research Academy (AURA),t,f,t,f,"MYP, DP",,,,
49990,American Youth Academy,t,f,t,f,"MYP, DP",,,,
6583,Anahuacalmecac International University Prep. HS,f,f,f,f,,,,,
6448,Anasazi Elementary School,f,f,f,t,PYP,,,,
62726,Andersen United Middle School,f,f,t,f,MYP,,,,
2421,Anderson Mill Elementary School IB World School,f,f,f,t,PYP,,,,
51763,Andress High School,t,f,f,f,DP,,,,
1881,Andrew Carnegie Elementary School,f,f,t,f,MYP,,,,
1430,Andrew P. Hill High School,t,t,t,f,"MYP, DP, CP",,,,
49582,Anita J. Turner Elementary School,f,f,f,t,PYP,,,,
6902,Annabel C. Perry PK-8,f,f,f,t,PYP,1200245,ANNABEL C. PERRY PK-8,MIRAMAR,FL 
1272,Annandale High School,t,f,t,f,"MYP, DP",,,,
2340,Annapolis High School,t,t,t,f,"MYP, DP, CP",2604618,Annapolis High School,DEARBORN HEIGHTS,MI 
3622,Annapolis Middle School,f,f,t,f,MYP,,,,
3923,Annie Wright Schools,t,f,t,t,"PYP, MYP, DP",,,,
51701,Annunciation Catholic School,f,f,f,t,PYP,,,,
62364,Annunciation Catholic School DC,f,f,f,t,PYP,,,,
3014,Antelope Trails Elementary,f,f,f,t,PYP,,,,
50117,Antietam Elementary School,f,f,f,t,PYP,,,,
50270,Antioch High School,t,t,f,f,"DP, CP",4701257,Antioch High School,Antioch,TN 
3386,Anwatin Middle School,f,f,t,f,MYP,,,,
60989,A. Philip Randolph Elementary,f,f,f,t,PYP,,,,
3596,Aquila Elementary School,f,f,f,t,PYP,,,,
48013,Archbishop Spalding High School,t,f,f,f,DP,,,,
2770,Arlington High School,t,f,f,f,DP,5300023,Arlington High School,Arlington,WA 
2770,Arlington High School,t,f,f,f,DP,3100030,ARLINGTON HIGH SCHOOL,ARLINGTON,NE 
2770,Arlington High School,t,f,f,f,DP,3600088,ARLINGTON HIGH SCHOOL,LAGRANGEVILLE,NY 
1317,Armijo High School,t,f,f,f,DP,,,,
49014,Arroyo Elementary School,f,f,t,t,"PYP, MYP",0400917,Arroyo Elementary School,GLENDALE,AZ 
3352,Arroyo Valley High School,t,f,t,f,"MYP, DP",,,,
3927,Arthur I. Meyer Jewish Preparatory,f,f,t,f,MYP,,,,
51613,Arthur Kramer Elementary IB World School,f,f,f,t,PYP,,,,
62636,Ashley Hall,f,f,f,t,PYP,,,,
62362,Aspen Elementary School,f,f,f,t,PYP,5600572,Aspen Elementary School,Riverton,WY 
62362,Aspen Elementary School,f,f,f,t,PYP,0800045,Aspen Elementary School,ASPEN,CO 
1277,Aspen High School,t,f,t,f,"MYP, DP",0800047,Aspen High School,ASPEN,CO 
62363,Aspen Middle School,f,f,t,f,MYP,0800046,Aspen Middle School,ASPEN,CO 
435,Atherton High School,t,f,f,f,DP,,,,
582,Atlanta International School,t,t,t,t,"PYP, MYP, DP, CP",,,,
51430,Atlanta Neighborhood Charter School,f,f,t,f,MYP,,,,
530,Atlantic Community High School,t,t,t,f,"MYP, DP, CP",,,,
1191,Atlee High School,t,f,f,f,DP,,,,
939,Auburn High School,t,f,f,f,DP,0100036,Auburn High School,Auburn,AL 
939,Auburn High School,t,f,f,f,DP,3600101,AUBURN HIGH SCHOOL,AUBURN,NY 
