ceeb,school_name,state,sector,rigor_tier_label,rigor_score,ap_score_nu,ap_tests_offered,ap_efficiency,ap_efficiency_quadrant,stem_advanced_offered,calculus_offered,physics_offered,grad_rate_2021
233615,Ubly Community JrSr High School,MI,public,Average,-0.1004058365568432,,,,,2.0,0.0,0.0,95.0
233620,Union City High School,MI,public,Average,-0.2358470661523189,,,,,4.0,1.0,1.0,84.5
233623,Ministry of theWord Unionvlle,,private,,,,,,,,,,
233625,UnionvilleSebewaing MiddleHigh School,MI,public,Demanding,0.2470284444720595,,,,,1.0,0.0,0.0,97.5
233626,Adlai Stevenson High School,MI,public,Demanding,0.0879989337181026,2.49,26.0,-1.432842550066611,Broad but underperforming,3.0,0.0,1.0,94.0
233630,Utica High School,MI,public,Demanding,0.0186421841867123,2.34,28.0,-1.9260852639818067,Broad but underperforming,3.0,0.0,1.0,95.0
233633,Vandalia Lighthouse Academy,,private,,,,,,,,,,
233645,Juniata Christian School,,private,,,,,,,,,,
233650,Vassar Senior High School,MI,public,Average,-0.1725383607498362,,,,,0.0,0.0,0.0,82.0
233655,Maple Valley JrSr High School,MI,public,Demanding,0.0637324246449365,,,,,4.0,1.0,1.0,84.5
233660,Vestaburg Community High School,MI,public,Average,-0.0602735005681347,,,,,1.0,0.0,0.0,90.0
233665,Vicksburg High School,MI,public,Demanding,0.1501123414227001,2.5,27.0,-1.5406775527898677,Broad but underperforming,4.0,1.0,1.0,97.5
233683,Covenant Christian High School,,private,,,,,,,,,,
233689,Walled Lake Western High School,MI,public,Demanding,0.3368510966353719,2.92,23.0,-0.3582584483933489,Broad & high-performing,4.0,1.0,1.0,93.0
233690,Walled Lake Central High School,MI,public,Demanding,0.286116702818318,3.14,26.0,-0.3715351353334131,Broad & high-performing,4.0,1.0,1.0,92.0
233691,Warren Mott High School,MI,public,Average,-0.1846900348726669,2.85,13.0,0.769074997980746,"Selective & effective (few offered, high scores)",4.0,1.0,1.0,91.0
233693,Lincoln High School,MI,public,Average,-0.3499462193193483,,,,,3.0,1.0,1.0,67.0
233694,Cousino Senior High School,MI,public,Average,-0.2779655946338818,2.77,15.0,0.39012692872912597,"Selective & effective (few offered, high scores)",4.0,1.0,1.0,93.0
233696,Eisenhower High School,MI,public,Demanding,0.3886336687152421,2.76,26.0,-0.9919917777928218,Broad but underperforming,,,,
233698,Our Lady Of The Lakes HS,,private,Below Average,-1.0587580904637723,,,,,,,,
233699,Warren Woods Tower High School,MI,public,Average,-0.0931448234709906,2.55,13.0,0.2792408065654233,"Limited (few offered, low scores)",4.0,1.0,1.0,94.0
233701,Antioch Baptist Academy,,private,,,,,,,,,,
233702,Grace Christian School,,private,,,,,,,,,,
233703,Macomb Christian Schools,,private,,,,,,,,,,
233704,Zoe Christian Academy,,private,,,,,,,,,,
233705,Watervliet Senior High School,MI,public,Average,-0.5551283512330114,2.46,4.0,1.2497558310747297,"Limited (few offered, low scores)",4.0,1.0,1.0,87.0
233706,Houghton Lake Community Education,MI,public,Average,-0.509749795055521,,,,,3.0,0.0,1.0,30.0
233708,Warren Consolidated Community High School,MI,public,Average,-0.4269894301113232,,,,,2.0,0.0,1.0,42.0
233710,Wayland High School,MI,public,Average,-0.0811947760865561,2.9,14.0,0.7265512207795324,"Selective & effective (few offered, high scores)",4.0,1.0,1.0,97.5
233711,John Glenn High School,MI,public,Below Average,-0.6190305178767614,2.35,19.0,-0.792292175667393,Broad but underperforming,4.0,1.0,1.0,88.0
233713,WayneWestland Innovative Academy,MI,public,Average,-0.1403358727804338,,,,,2.0,0.0,1.0,27.0
