destinationtable,rcdts,level,school_name,district,city,county,district_type,school_type,grades_served,summative_designation,summative_designation_student_group_s,title_i_status,state_senate_district,state_house_district,ebf_tier,pct_ebf_capacity_to_meet_expectations,count_school_enrollment,site_level_per_pupil_expenditures_federal,site_level_per_pupil_expenditures_state_local,site_level_per_pupil_expenditures_subtotal,district_centralized_per_pupil_expenditure_federal,district_centralized_per_pupil_expenditure_state_local,district_centralized_per_pupil_expenditure_subtotal,total_per_pupil_expenditures_federal,total_per_pupil_expenditures_state_local,total_per_pupil_expenditures_subtotal,exclusions,total_expenditures_sber,local_property_taxes,pct_local_property_taxes,other_local_funding,pct_other_local_funding,evidence_based_funding,pct_evidence_based_funding,other_state_funding,pct_other_state_funding,federal_funding,pct_federal_funding,total_revenue_source,eav_per_pupil,total_school_tax_rate_per_100,instructional_expenditure_per_pupil,operating_expenditures,instruction,pct_instruction,general_admin,pct_general_admin,supporting_services,pct_supporting_services,other_expenditures,pct_other_expenditures,education_fund,pct_education_fund,operations_b_m,pct_operations_b_m,transportation,pct_transportation,debt_service,pct_debt_service,tort,pct_tort,munic_ret_soc_security,pct_munic_ret_soc_security,fire_prev_safety,pct_fire_prev_safety,capital_projects_fund,pct_capital_projects_fund,total_expenditures_afr,per_pupil_pension_obligation_amount,total_pension_obligation_amount
Finance1,03-003-0020-26-2003,School,Greenville Elem School,Bond County CUSD 2,Greenville,Bond,Unit District,Elementary School,PK - 5,Commendable,All Students,Title 1 Schoolwide,55,109,,,513,675.93,12622.96,13298.89,368.7,2379.92,2748.62,1044.63,15002.88,16047.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,03-003-0020-26-1002,School,Greenville Jr High School,Bond County CUSD 2,Greenville,Bond,Unit District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Schoolwide,55,109,,,282.5,529.68,11187.66,11717.34,368.7,2379.92,2748.62,898.38,13567.58,14465.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,03-003-0020-26-2004,School,Pocahontas Center,Bond County CUSD 2,Pocahontas,Bond,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Schoolwide,55,109,,,194,414.15,12719.84,13133.99,368.7,2379.92,2748.62,782.85,15099.76,15882.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,32-046-0530-02-2003,School,Alan B Shepard Elem School,Bourbonnais SD 53,Bourbonnais,Kankakee,Elementary District,Elementary School,PK - 3,Commendable,All Students,Title 1 Schoolwide,40,79,,,453.05,0,104.84,104.84,329.58,13344.89,13674.47,329.58,13449.74,13779.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,32-046-0530-02-1001,School,Bourbonnais Upper Grade Center,Bourbonnais SD 53,Bourbonnais,Kankakee,Elementary District,Middle/Junior High School,7 - 8,Targeted,"Multiracial, Children with Disabilities",Title 1 Eligible but Not Served,40,79,,,490.51,0,139.42,139.42,329.58,13344.89,13674.47,329.58,13484.31,13813.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,32-046-0530-02-2005,School,Liberty Intermediate School,Bourbonnais SD 53,Bourbonnais,Kankakee,Elementary District,Elementary School,4 - 6,Exemplary,All Students,Title 1 Eligible but Not Served,40,79,,,728.06,0,89.2,89.2,329.58,13344.89,13674.47,329.58,13434.09,13763.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,32-046-0530-02-2004,School,Noel Levasseur Elem School,Bourbonnais SD 53,Bourbonnais,Kankakee,Elementary District,Elementary School,PK - 3,Commendable,All Students,Title 1 Schoolwide,40,79,,,324.5,0,77.37,77.37,329.58,13344.89,13674.47,329.58,13422.27,13751.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,32-046-0530-02-2002,School,Shabbona Elem School,Bourbonnais SD 53,Bourbonnais,Kankakee,Elementary District,Elementary School,K - 3,Exemplary,All Students,Title 1 Schoolwide,40,79,,,279,0,75.91,75.91,329.58,13344.89,13674.47,329.58,13420.8,13750.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,24-032-0750-02-2001,School,Braceville Elem School,Braceville SD 75,Braceville,Grundy,Elementary District,Elementary School,K - 8,Commendable,All Students,Title 1 Schoolwide,40,79,,,125.75,581.91,5682.81,6264.72,295.96,10260.66,10556.62,877.88,15943.47,16821.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,28-088-0010-26-2001,School,Bradford Grade School,Bradford CUSD 1,Bradford,Stark,Unit District,Elementary School,PK - 5,Commendable,All Students,Title 1 Schoolwide,37,73,,,123,0,736.41,736.41,696.33,14917.69,15614.02,696.33,15654.11,16350.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
