school_id,our_name,our_city,state,sector,bob_ceeb,bob_name,bob_city,match_rule,score,confidence
4207103,Schuylkill Technology Centers-North Campus,Frackville,PA,public,391423,Schuylkill Technology Center,Frackville,ceeb_exact,100.0,high
4207104,Schuylkill Technology Centers-South Campus,Mar Lin,PA,public,391423,Schuylkill Technology Center,FRACKVILLE,subset_multi_token,90.0,review
4200864,Schuylkill Valley HS,Leesport,PA,public,392215,Schuylkill Valley High School,Leesport,ceeb_exact,100.0,high
4200923,Science Leadership Academy,Philadelphia,PA,public,393238,Science Leadership Academy,Philadelphia,ceeb_exact,100.0,high
4206413,Scranton HS,Scranton,PA,public,394442,Scranton High School,Scranton,ceeb_exact,100.0,high
4203969,Selinsgrove Area HS,Selinsgrove,PA,public,394460,Selinsgrove Area High School,Selinsgrove,ceeb_exact,100.0,high
4206148,Seneca HS,Erie,PA,public,395080,Seneca High School,Erie,ceeb_exact,100.0,high
4207105,Seneca Highlands Career and Technical Center,Port Allegany,PA,public,,,,unmatched,,
4207521,Seneca Valley HS,Harmony,PA,public,395465,Seneca Valley Sr High School,HARMONY,exact_normalized_name,99.0,high
4204006,Shade JSHS,Cairnbrook,PA,public,390510,Shade High School,CAIRNBROOK,exact_normalized_name,99.0,high
4200460,Shaler Area HS,Pittsburgh,PA,public,391550,Shaler Area High School,Pittsburgh,ceeb_exact,100.0,high
4200968,Shamokin Area HS,Shamokin,PA,public,394485,Shamokin Area Middle/High Sch,COAL TOWNSHIP,exact_normalized_name,99.0,high
4206800,Shanksville-Stonycreek HS,Shanksville,PA,public,394495,Shanksville-Stonycreek School,Shanksville,ceeb_exact,100.0,high
4207321,Sharon HS,Sharon,PA,public,394505,Sharon High School,Sharon,ceeb_exact,100.0,high
4203124,Sharpsville Area SHS,Sharpsville,PA,public,394525,Sharpsville High School,SHARPSVILLE,subset_same_city,97.0,high
4204146,Sheffield Area MS/HS,Sheffield,PA,public,394530,Sheffield Area Middle HS,Sheffield,ceeb_exact,100.0,high
4203940,Shenandoah Valley JSHS,Shenandoah,PA,public,394540,Shenandoah Valley High School,Shenandoah,ceeb_exact,100.0,high
4202708,Shenango HS,New Castle,PA,public,392915,Shenango High School,New Castle,ceeb_exact,100.0,high
4203569,Shikellamy HS,Sunbury,PA,public,394740,Shikellamy High School,Sunbury,ceeb_exact,100.0,high
4205221,Shippensburg Area SHS,Shippensburg,PA,public,394565,Shippensburg Area Senior HS,SHIPPENSBURG,exact_normalized_name,99.0,high
4201172,Slippery Rock Area HS,Slippery Rock,PA,public,394610,Slippery Rock Area High School,Slippery Rock,ceeb_exact,100.0,high
4203117,Smethport Area JSHS,Smethport,PA,public,394615,Smethport Area Jr-Sr HS,SMETHPORT,exact_normalized_name,99.0,high
4202658,Solanco HS,Quarryville,PA,public,394125,Solanco High School,Quarryville,ceeb_exact,100.0,high
4207509,Somerset Area Jr-Sr HS,Somerset,PA,public,394625,Somerset Area Senior HS,Somerset,ceeb_exact,100.0,high
4207085,Somerset County Technology Center,Somerset,PA,public,394626,Somerset County Technology Ctr,SOMERSET,exact_normalized_name,99.0,high
4203354,Souderton Area HS,Souderton,PA,public,394635,Souderton Area High School,Souderton,ceeb_exact,100.0,high
4207669,South Allegheny HS,McKeesport,PA,public,392267,South Allegheny High School,McKeesport,ceeb_exact,100.0,high
4210057,South East Youth Dev Center,Collegeville,PA,public,,,,unmatched,,
4200470,South Fayette HS,McDonald,PA,public,392745,South Fayette High School,McDonald,ceeb_exact,100.0,high
4200355,South Mountain Secure Trmnt Un,South Mountain,PA,public,394630,South Mtn Secure Treatment Uni,S Mountain,ceeb_exact,100.0,high
4200467,South Park SHS,South Park,PA,public,392275,South Park High School,South Park,ceeb_exact,100.0,high
4203859,South Philadelphia HS,Philadelphia,PA,public,393510,South Philadelphia High School,Philadelphia,ceeb_exact,100.0,high
4200714,South Side HS,Hookstown,PA,public,391823,South Side Area High School,Hookstown,ceeb_exact,100.0,high
4204608,South Western SHS,Hanover,PA,public,391628,South Western High School,Hanover,ceeb_exact,100.0,high
4203056,South Williamsport Area JSHS,South Williamsport,PA,public,395325,South Williamsport Jr-Sr HS,SO. WILLIAMSPORT,subset_multi_token,90.0,review
4201627,Southern Columbia HS,Catawissa,PA,public,390595,Southern Columbia Area HS,Catawissa,ceeb_exact,100.0,high
4202253,Southern Fulton JSHS,Warfordsburg,PA,public,395030,Southern Fulton Jr-Sr HS,Warfordsburg,ceeb_exact,100.0,high
4202313,Southern Huntingdon Co HS/MS,Three Springs,PA,public,393120,Southern Huntingdon Co H/M Sch,Three Springs,ceeb_exact,100.0,high
4202839,Southern Lehigh SHS,Center Valley,PA,public,390830,Southern Lehigh High School,Center Valley,ceeb_exact,100.0,high
4206191,Southmoreland SHS,Alverton,PA,public,390060,Southmoreland High School,Alverton,ceeb_exact,100.0,high
4200530,Spectrum CS,Monroeville,PA,public,,,,unmatched,,
4204623,Spring Grove Area HS,Spring Grove,PA,public,394670,Spring Grove Area High School,Spring Grove,ceeb_exact,100.0,high
4203367,Spring-Ford SHS 9-12 Ctr,Royersford,PA,public,394300,Spring-Ford High School,ROYERSFORD,subset_same_city,97.0,high
4200029,Springdale JSHS,Springdale,PA,public,394655,Springdale High School,Springdale,ceeb_exact,100.0,high
4201950,Springfield HS,Springfield,PA,public,394660,Springfield High School,SPRINGFIELD,exact_normalized_name,99.0,high
4203376,Springfield Twp HS,Erdenheim,PA,public,394660,Springfield High School,Springfield,ceeb_exact,100.0,high
4205169,St Marys Area SHS,Saint Marys,PA,public,394330,Saint Marys Area High School,Saint Marys,ceeb_exact,100.0,high
4201364,State College Area HS,State College,PA,public,394685,State College Area High School,State College,ceeb_exact,100.0,high
4207045,Steel Center for Career and Technical Education,Jefferson Hills,PA,public,,,,unmatched,,
4200196,Steel Valley SHS,Munhall,PA,public,391810,Steel Valley Senior High Schoo,Munhall,ceeb_exact,100.0,high
4201801,Steelton-Highspire HS,Steelton,PA,public,394690,Steelton-Highspire Jr-Sr HS,Steelton,ceeb_exact,100.0,high
4200477,Sto-Rox JSHS,McKees Rocks,PA,public,392515,Sto-Rox Junior-Senior HS,MCKEES ROCKS,exact_normalized_name,99.0,high
4205287,Strath Haven HS,Wallingford,PA,public,395015,Strath Haven High School,Wallingford,ceeb_exact,100.0,high
4203839,Strawberry Mansion HS,Philadelphia,PA,public,393531,Strawberry Mansion HS,Philadelphia,ceeb_exact,100.0,high
4203224,Stroudsburg HS,Stroudsburg,PA,public,394715,Stroudsburg High School,STROUDSBURG,exact_normalized_name,99.0,high
4200472,Stroudsburg JHS,Stroudsburg,PA,public,394715,Stroudsburg High School,STROUDSBURG,subset_same_city,97.0,high
4204030,Sullivan Co JSHS,Laporte,PA,public,392168,Sullivan County High School,LAPORTE,exact_normalized_name,99.0,high
4201915,Sun Valley HS,Aston,PA,public,391572,Sun Valley High School,Aston,ceeb_exact,100.0,high
4204054,Susquehanna Community JSHS,Susquehanna,PA,public,394752,Susquehanna Community HS,Susquehanna,ceeb_exact,100.0,high
4207138,Susquehanna County Career and Technology Center,Springville,PA,public,,,,unmatched,,
