name,school_id,offers_pyp,offers_myp,offers_dp,offers_cp,programmes,offers_any_ib,languages,ibo_url
Gar-Field Senior High School,001133,false,true,true,true,"MYP, DP, CP",true,English,https://ibo.org/school/001133/
Garden Hills Elementary School,002959,true,false,false,false,PYP,true,English,https://ibo.org/school/002959/
Garland High School,000516,false,true,true,false,"MYP, DP",true,English,https://ibo.org/school/000516/
Garner Magnet High School,002294,false,true,true,true,"MYP, DP, CP",true,English,https://ibo.org/school/002294/
Gateway High School (Osceola School District),001134,false,false,true,false,DP,true,English,https://ibo.org/school/001134/
Gateway International School,050093,true,true,false,false,"PYP, MYP",true,English,https://ibo.org/school/050093/
Gatewood Elementary School,063046,true,false,false,false,PYP,true,"English, Spanish",https://ibo.org/school/063046/
Gene L. Klida Utica Academy for International Studies,004001,false,false,true,false,DP,true,English,https://ibo.org/school/004001/
Genesee Academy,006793,false,true,false,false,MYP,true,English,https://ibo.org/school/006793/
Geneva Heights IB World School,051608,true,false,false,false,PYP,true,English,https://ibo.org/school/051608/
George C. Marshall High School,000943,false,false,true,false,DP,true,English,https://ibo.org/school/000943/
George H. Moody Middle School,001989,false,true,false,false,MYP,true,English,https://ibo.org/school/001989/
George M. Hampton Middle School,002029,false,true,false,false,MYP,true,English,https://ibo.org/school/002029/
George School,000327,false,false,true,false,DP,true,English,https://ibo.org/school/000327/
George Washington High School,000315,false,false,true,false,DP,true,English,https://ibo.org/school/000315/
George Washington High School,002295,false,false,true,false,DP,true,English,https://ibo.org/school/002295/
George Washington High School,001233,false,true,true,false,"MYP, DP",true,English,https://ibo.org/school/001233/
German International School Chicago,051642,true,true,false,false,"PYP, MYP",true,"English, German, Other",https://ibo.org/school/051642/
German International School of Portland,050618,true,false,false,false,PYP,true,"English, German, Other",https://ibo.org/school/050618/
German-American School Manhattan,063195,true,false,false,false,PYP,true,"English, German, Other",https://ibo.org/school/063195/
Germantown Elementary School,049417,true,false,false,false,PYP,true,English,https://ibo.org/school/049417/
Germantown High School,003251,false,false,true,false,DP,true,English,https://ibo.org/school/003251/
Giaudrone Middle School,049245,false,true,false,false,MYP,true,English,https://ibo.org/school/049245/
Gilbert A. Dater High School,061979,false,true,false,false,MYP,true,"English, Spanish",https://ibo.org/school/061979/
Gilbert High School,061381,false,false,true,true,"DP, CP",true,English,https://ibo.org/school/061381/
Girls Global Academy,061388,false,false,false,true,CP,true,English,https://ibo.org/school/061388/
Glen A. Wilson High School,001023,false,false,true,true,"DP, CP",true,"English, Spanish",https://ibo.org/school/001023/
GlenOak High School,051348,false,false,true,false,DP,true,English,https://ibo.org/school/051348/
Global Academy of Phoenix,061053,true,true,false,false,"PYP, MYP",true,"English, Spanish",https://ibo.org/school/061053/
Global Community Charter School,051856,true,false,false,false,PYP,true,English,https://ibo.org/school/051856/
Goethe International Charter School,026019,true,true,false,false,"PYP, MYP",true,"English, German, Other",https://ibo.org/school/026019/
Golden Hills School,061413,false,true,false,false,MYP,true,English,https://ibo.org/school/061413/
Goodlettsville Middle School,003171,false,true,false,false,MYP,true,English,https://ibo.org/school/003171/
Graciela Garcia Elementary School,003473,true,false,false,false,PYP,true,"English, Spanish",https://ibo.org/school/003473/
Granada High School,051185,false,false,true,false,DP,true,English,https://ibo.org/school/051185/
Granada Hills Charter,007006,true,true,true,false,"PYP, MYP, DP",true,English,https://ibo.org/school/007006/
Granada Preparatory School,051544,true,true,false,false,"PYP, MYP",true,"English, Spanish",https://ibo.org/school/051544/
Granby High School,000991,false,false,true,true,"DP, CP",true,English,https://ibo.org/school/000991/
Grand Rapids Senior High School,000247,false,false,true,false,DP,true,English,https://ibo.org/school/000247/
Granite Bay High School,002966,false,false,true,false,DP,true,English,https://ibo.org/school/002966/
